id,image_id,stage,정답,확인,모델읽은,근거,메모,file
29,001129,det5,Expiny Date,Expiry Date,Expiny Date,사용자 비고,,001129_1.png
30,001129,det5,까지,,까지,사용자 비고,,001129_4.png
31,001131,s2,02.12-12:53.HA,,02.12-12:53.HA,사용자 비고,,001131_0.png
32,001131,s2,유통기한,,유통기한,사용자 비고,,001131_1.png
33,001131,s2,까지,,까지,사용자 비고,,001131_2.png
34,001134,rot90,SELL BT 03032I LOT 85I EST 54,03/03/21(03032l아님),SELL BT 03032I LOT 85I EST 54,v5 정답 확인,,001134_3.png
35,001164,det5,유통기한,,유통기한,v5 정답 확인,,001164_0.png
36,001164,det5,2021.03.01 르ü르1.0크.01,,2021.03.01 르ü르1.0크.01,v5 정답 확인,,001164_1.png
37,001164,det5,까지,,까지,v5 정답 확인,,001164_3.png
38,001166,fail,도표기일까지,,도표기일까지,사용자 비고,,001166_0.png
39,001166,fail,·유통기한:,,·유통기한:,사용자 비고,,001166_1.png
40,001166,fail,까지,,까지,사용자 비고,,001166_2.png
41,001167,fail,·유봉기한:,유통기한,·유봉기한:,사용자 비고,,001167_1.png
42,001179,det5,Best Before Date: 01 5EF 01 SEP 2022,,Best Before Date: 01 5EF 01 SEP 2022,사용자 비고(연도 교체),,001179_0.png
43,001180,det5,Best Before Date: 01 sEF 01 SEP 2022,2022가 아니라 2023(도트문자열),Best Before Date: 01 sEF 01 SEP 2022,사용자 비고(연도 교체),,001180_0.png
44,001186,det5,14:38,,14:38,v5 정답 확인,,001186_1.png
45,001186,det5,부터,,부터,v5 정답 확인,,001186_2.png
46,001186,det5,20-12-22 금요·1금·금8,22가 아니라 29. 도트문자열,20-12-22 금요·1금·금8,v5 정답 확인,,001186_4.png
47,001186,det5,까지,,까지,v5 정답 확인,,001186_5.png
48,001186,det5,21:09:28,,21:09:28,v5 정답 확인,,001186_6.png
49,001197,det5,10 10 2021,,10 10 2021,v5 정답 확인,,001197_0.png
50,001198,det5,:10 10 2021,,:10 10 2021,v5 정답 확인,,001198_0.png
51,001205,fail,05.21 L095 2,,05.21 L095 2,사용자 비고,,001205_0.png
52,001206,rot90,05.21 L095 2,,05.21 L095 2,없음,,001206_0.png
53,001214,erode5,E2.05.15,21.05.15(바운딩박스가 범위 커버 잘 못 함),E2.05.15,사용자 비고,,001214_0.png
54,001215,clahe,EXF 13052021E1,"EXP :  13 06 2021(도트문자열, 띄어쓰기 못 읽음)",EXF 13052021E1,사용자 비고,,001215_0.png
55,001237,rot90,01.28.,,01.28.,사용자 비고,,001237_1.png
56,001238,erode3,까지,,까지,ExpDate,,001238_2.png
57,001239,s2,2020.12.19ㄴ1,,2020.12.19ㄴ1,v5 정답 확인,,001239_0.png
58,001254,det5,10:53,,10:53,v5 정답 확인,,001254_0.png
59,001254,det5,2019.09.13 노ㅁI이.C9.15,,2019.09.13 노ㅁI이.C9.15,v5 정답 확인,,001254_1.png
60,001254,det5,까지,,까지,v5 정답 확인,,001254_2.png
61,001257,up2x,EPIRY DATE:2023/07/3 L.1852),,EPIRY DATE:2023/07/3 L.1852),v5 정답 확인,,001257_0.png
62,001262,erode3,2021.03.25,,2021.03.25,v5 정답 확인,,001262_0.png
63,001268,s2,유통기한,,유통기한,v5 정답 확인,,001268_2.png
64,001268,s2,2022.09.05,,2022.09.05,v5 정답 확인,,001268_7.png
65,001268,s2,까지,,까지,v5 정답 확인,,001268_8.png
66,001269,fail,Best before:,,Best before:,사용자 비고(월 이름),,001269_0.png
67,001269,fail,23:33:03,,23:33:03,사용자 비고(월 이름),,001269_3.png
68,001274,s2,17/06/2022,,17/06/2022,v5 정답 확인,,001274_5.png
69,001274,s2,Lot,,Lot,v5 정답 확인,,001274_6.png
70,001279,s2,WA02830585EXP2022/10/09,,WA02830585EXP2022/10/09,v5 정답 확인,,001279_0.png
71,001280,s2,WA02830585EXP2022/10/09,,WA02830585EXP2022/10/09,v5 정답 확인,,001280_0.png
72,001286,s2,DA CONSUMARS PREFERBILMENTE ENTRO/ BEST BEFORE END,,DA CONSUMARS PREFERBILMENTE ENTRO/ BEST BEFORE END,v5 정답 확인,,001286_5.png
73,001286,s2,21/11/2022,,21/11/2022,v5 정답 확인,,001286_6.png
74,001293,det5,:2020/09,,:2020/09,사용자 비고,,001293_0.png
75,001297,s2,31호 유기품에 도 표기일까지(는법제에 일도만 인당의 1일지제조사-PAPLONSPL오장,,31호 유기품에 도 표기일까지(는법제에 일도만 인당의 1일지제조사-PAPLONSPL오장,v5 정답 확인,,001297_3.png
76,001297,s2,De cormaarni preertimerte oro fine/Best bedome end/71et!,,De cormaarni preertimerte oro fine/Best bedome end/71et!,v5 정답 확인,,001297_12.png
77,001297,s2,11/2023 L20204150-331,,11/2023 L20204150-331,v5 정답 확인,,001297_13.png
78,001304,det5,021-04-12,2021(021로 잘못 인식함),021-04-12,v5 정답 확인,,001304_0.png
79,001305,up2x,2021-04- 12,,2021-04- 12,v5 정답 확인,,001305_0.png
80,001308,clahe,13:37 307 BEST,,13:37 307 BEST,v5 정답 확인,,001308_0.png
81,001308,clahe,BEFORE D6/11/2022,,BEFORE D6/11/2022,v5 정답 확인,,001308_1.png
82,001313,s2,하단별도표시일까지,,하단별도표시일까지,v5 정답 확인,,001313_1.png
83,001313,s2,유통기한,,유통기한,v5 정답 확인,,001313_3.png
84,001313,s2,유통기한,,유통기한,v5 정답 확인,,001313_5.png
85,001313,s2,까지,,까지,v5 정답 확인,,001313_6.png
86,001313,s2,2022.01.15 BUA16,,2022.01.15 BUA16,v5 정답 확인,,001313_8.png
87,001314,s2,하단별도표시일까지,,하단별도표시일까지,v5 정답 확인,,001314_0.png
88,001314,s2,유통기한,,유통기한,v5 정답 확인,,001314_1.png
89,001314,s2,유통기한,,유통기한,v5 정답 확인,,001314_2.png
90,001314,s2,까지,,까지,v5 정답 확인,,001314_7.png
91,001314,s2,2022.01.15BUA16,,2022.01.15BUA16,v5 정답 확인,,001314_8.png
92,001318,s2,EXPIRY DATE / FECHA DE EXPIRACION,,EXPIRY DATE / FECHA DE EXPIRACION,사용자 비고,,001318_4.png
93,001318,s2,200328 VO0,,200328 VO0,사용자 비고,,001318_10.png
94,001333,s2,12/2021,,12/2021,v5 정답 확인,,001333_0.png
95,001333,s2,LOT,,LOT,v5 정답 확인,,001333_1.png
96,001333,s2,11:00,,11:00,v5 정답 확인,,001333_2.png
97,001334,rot90,26 OCT 2021,,26 OCT 2021,v5 정답 확인,,001334_0.png
98,001334,rot90,BEST BEFORE,,BEST BEFORE,v5 정답 확인,,001334_1.png
99,001335,fail,BEST BEFORE,,BEST BEFORE,사용자 비고,,001335_0.png
100,001335,fail,LOT,,LOT,사용자 비고,,001335_2.png
101,001337,s2,Use By:,,Use By:,v5 정답 확인,,001337_1.png
102,001337,s2,04  JUL 21,,04  JUL 21,v5 정답 확인,,001337_2.png
103,001337,s2,유통기한,,유통기한,v5 정답 확인,,001337_4.png
104,001356,s2,EXP:08/22 MFD:08/20 23:16,,EXP:08/22 MFD:08/20 23:16,ExpDate,,001356_0.png
105,001357,s2,EXP:08/22MFD:08/20 23:16,,EXP:08/22MFD:08/20 23:16,없음,,001357_0.png
106,001358,s2,12.2020-13:28/1819011,,12.2020-13:28/1819011,사용자 비고,,001358_6.png
107,001359,fail,12.2020-13:28/1819011,,12.2020-13:28/1819011,사용자 비고,,001359_1.png
108,001360,s2,TETT02.09.21,,TETT02.09.21,v5 정답 확인,,001360_4.png
109,001361,s2,TETT:02.09.21,,TETT:02.09.21,사용자 비고,,001361_3.png
110,001364,fail,LotNa,,LotNa,사용자 비고,,001364_0.png
111,001368,hires,2021-08:19,,2021-08:19,v5 정답 확인,,001368_0.png
112,001376,s2,19:51TK3,,19:51TK3,v5 정답 확인,,001376_0.png
113,001376,s2,"BEST BY 2021 12 02 (KDREA,JAPAN,",,"BEST BY 2021 12 02 (KDREA,JAPAN,",v5 정답 확인,,001376_1.png
114,001377,s2,19:51 TK3,,19:51 TK3,v5 정답 확인,,001377_0.png
115,001377,s2,"BEST BY 2021 12 02 (KTREA, JAPAN,",,"BEST BY 2021 12 02 (KTREA, JAPAN,",v5 정답 확인,,001377_1.png
116,001379,s2,2021.01.22,,2021.01.22,v5 정답 확인,,001379_4.png
117,001381,s2,2021:04.09,,2021:04.09,v5 정답 확인,,001381_1.png
118,001384,fail,09-2018,,08-2018,사용자 비고,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,001384_0.png
119,001393,s2,Bestif used by:sek L20196 N.0660,,Bestif used by:sek L20196 N.0660,v5 정답 확인,,001393_0.png
120,001393,s2,빛과 열로부터멀리두세요,,빛과 열로부터멀리두세요,v5 정답 확인,,001393_3.png
121,001393,s2,14.JUL.2022,,14.JUL.2022,v5 정답 확인,,001393_7.png
122,001400,fail,유 통 기 한 별도표기일까지,,유 통 기 한 별도표기일까지,사용자 비고,,001400_2.png
123,001400,fail,·유통기한:,,·유통기한:,사용자 비고,,001400_4.png
124,001400,fail,까지,,까지,사용자 비고,,001400_5.png
125,001401,fail,·유용기한:,유통기한,·유용기한:,사용자 비고,,001401_0.png
126,001401,fail,까지,,까지,사용자 비고,,001401_2.png
127,001402,erode3,'통기한,유통기한,'통기한,사용자 비고,,001402_0.png
128,001402,erode3,2ㅇ20. 09.29,2020.09.29(0을 ㅇ으로 잘못 읽음),2ㅇ20. 09.29,사용자 비고,,001402_1.png
129,001402,erode3,까지,,까지,사용자 비고,,001402_3.png
130,001403,fail,통기한,유통기한,통기한,사용자 비고,,001403_0.png
131,001403,fail,까지,,까지,사용자 비고,,001403_2.png
132,001404,s2,유통기한:,,유통기한:,v5 정답 확인,,001404_0.png
133,001404,s2,2021.01.27F1,,2021.01.27F1,v5 정답 확인,,001404_4.png
134,001404,s2,까지,,까지,v5 정답 확인,,001404_6.png
135,001410,clahe,25.05.2021,,25.05.2021,v5 정답 확인,,001410_1.png
136,001411,det5,유통기한: 2022.09.06까지,,유통기한: 2022.09.06까지,v5 정답 확인,,001411_0.png
137,001411,det5,유통기한,,유통기한,v5 정답 확인,,001411_1.png
138,001411,det5,측면상단표기일까지,,측면상단표기일까지,v5 정답 확인,,001411_2.png
139,001414,erode3,까지,,까지,사용자 비고,,001414_0.png
140,001414,erode3,기한,,기한,사용자 비고,,001414_1.png
141,001414,erode3,21.02-24,,21.02-24,사용자 비고,,001414_2.png
142,001417,s2,2021.11.0504:55까지,날짜랑 시간이랑 분간 안 됨(띄어쓰기 때문에),2021.11.0504:55까지,v5 정답 확인,,001417_0.png
143,001455,s2,유통기한,,유통기한,v5 정답 확인,,001455_5.png
144,001455,s2,2022.04.02,,2022.04.02,v5 정답 확인,,001455_6.png
145,001455,s2,까지,,까지,v5 정답 확인,,001455_7.png
146,001463,det5,유통기한,,유통기한,사용자 비고,,001463_0.png
147,001463,det5,2021.11.17 09848,,2021.11.14 09848,사용자 비고,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,001463_1.png
148,001463,det5,유개 상단프시일까지,유통기한 상단표시일까지,유개 상단프시일까지,사용자 비고,,001463_2.png
149,001466,det5,2020.11.03,,2020.11.03,v5 정답 확인,,001466_1.png
150,001466,det5,침차내용량 300129×25벽,,침차내용량 300129×25벽,v5 정답 확인,,001466_2.png
151,001467,clahe,620.7.03,"2020.11.03(잘못 읽음, 바운딩박스 인식 문제도 잇음)",620.7.03,v5 정답 확인,,001467_1.png
152,001481,erode5,01. 31 201EHE2,01.31까지 08:52,01. 31 201EHE2,ExpDate,,001481_0.png
153,001482,fail,01. 31N08:52,01.31까지,01. 31N08:52,사용자 비고,,001482_0.png
154,001483,fail,BEST BY FEB/06/21 07:45 FL6R,,BEST BY FEB/06/21 07:45 FL6R,사용자 비고,,001483_0.png
155,001494,up2x,17/AUG/2023 L17062023,,17/AUG/2023 L17062023,없음,,001494_4.png
156,001508,fail,BEST BY: OCT-19-2021,,BEST BY: OCT-19-2021,사용자 비고,,001508_0.png
157,001509,fail,BEST BY: OCF-19-2021,OCT-19-2021임,BEST BY: OCF-19-2021,사용자 비고,,001509_0.png
158,001521,erode3,까지,,까지,v5 정답 확인,,001521_0.png
159,001521,erode3,2021.07.08,,2021.07.08,v5 정답 확인,,001521_1.png
160,001523,up2x,부터,,부터,사용자 비고,,001523_3.png
161,001523,up2x,2021:01.15,"두개 있음. 2021.06.14를 놓침, 실제론 6월이 유통기한인데",2021:01.15,사용자 비고,,001523_4.png
162,001523,up2x,까지,,까지,사용자 비고,,001523_5.png
163,001523,up2x,유통,,유통,사용자 비고,,001523_6.png
164,001523,up2x,16:57 A01,,16:57 A01,사용자 비고,,001523_7.png
165,001523,up2x,기한,,기한,사용자 비고,,001523_8.png
166,001526,rot90,유통기한:,,유통기한:,v5 정답 확인,,001526_0.png
167,001526,rot90,2021.01.21.F2지,,2021.01.21.F2지,v5 정답 확인,,001526_2.png
168,001546,clahe,유통중 변질품은본,,유통중 변질품은본,v5 정답 확인,,001546_0.png
169,001546,clahe,유통중초,,유통중초,v5 정답 확인,,001546_1.png
170,001546,clahe,까지,,까지,v5 정답 확인,,001546_5.png
171,001548,clahe,R0D02/9/20,29/09/2020(도트문자열),R0D02/9/20,사용자 비고,,001548_0.png
172,001549,up2x,RROD : 29/09/2020*,,RROD : 29/09/2020*,사용자 비고,,001549_0.png
173,001550,det5,BEFURE 2021/08/25,,BEFURE 2021/08/2,사용자 비고,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,001550_0.png
174,001552,fail,02.19까지 F1,,02.19까지 F1,사용자 비고,,001552_0.png
175,001553,fail,0219까지 F1,2.19,0219까지 F1,사용자 비고,,001553_0.png
176,001566,det5,15:54,,15:54,v5 정답 확인,,001566_2.png
177,001598,clahe,7년누2012.01~2018.12We 접20,,7년누2012.01~2018.12We 접20,없음,,001598_0.png
178,001598,clahe,21 02 01 12 048,21 02 01 12:02부터(도트문자열),21 02 01 12 048,없음,,001598_1.png
179,001598,clahe,21.03 07,,21.03 07,없음,,001598_2.png
180,001598,clahe,D까지,,D까지,없음,,001598_3.png
181,001636,rot90,유동기한,유통기한,유동기한,사용자 비고,,001636_0.png
182,001636,rot90,까지,,까지,사용자 비고,,001636_1.png
183,001636,rot90,부터,,부터,사용자 비고,,001636_2.png
184,001644,s2,EXP:16.10.2021,,EXP:16.10.2021,v5 정답 확인,,001644_0.png
185,001644,s2,0106-10-16 16:42,,0106-10-3 16:42,v5 정답 확인,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,001644_1.png
186,001693,rot90,2021.07,,2021.07,사용자 비고,,001693_0.png
187,001748,erode3,2019.06.16부터,,2019.06.16부터,v5 정답 확인,,001748_2.png
188,001748,erode3,2019.07.03P.03까지,P는 없는데,2019.07.03P.03까지,v5 정답 확인,,001748_3.png
189,001765,rot90,0920-6612-080731,,0920-6612-080731,비고: 맞음 표기,,001765_1.png
190,001769,clahe,21.12.22,,21.12.22,v5 정답 확인,,001769_1.png
191,001769,clahe,까지,,까지,v5 정답 확인,,001769_2.png
192,001776,clahe,05 04 2021,,05 04 2021,v5 정답 확인,,001776_0.png
193,001787,fail,12.20L310 1,,12.20L310 1,사용자 비고,,001787_0.png
194,001797,up2x,부터,,부터,사용자 비고,,001797_1.png
195,001797,up2x,까지,,까지,사용자 비고,,001797_2.png
196,001805,clahe,20.02.10,,20.02.10,v5 정답 확인,,001805_0.png
197,001805,clahe,부터,,부터,v5 정답 확인,,001805_1.png
198,001805,clahe,20.11.09,,20.11.09,v5 정답 확인,,001805_3.png
199,001805,clahe,까지,,까지,v5 정답 확인,,001805_4.png
200,001816,rot90,21.01.15부EA,,21.01.15부EA,사용자 비고,,001816_0.png
201,001831,s2,004CG4CB19BB 12/2020,,004CG4CB19BB 12/2020,v5 정답 확인,,001831_0.png
202,001834,det5,022-07-12지,2022.07.12까지,022-07-12지,v5 정답 확인,,001834_0.png
203,001842,rot90,D5-2021(B),,D5-2021(B),사용자 비고,,001842_1.png
204,001843,rot90,05-2021<B>,,05-2021<B>,사용자 비고,,001843_1.png
205,001848,erode5,ENP12021/11/18,ENP가 아니라 EXP:,ENP12021/11/18,v5 정답 확인,,001848_0.png
206,001850,det5,2021/12/16 EP 2리76,EXP,2021/12/16 EP 2리76,v5 정답 확인,,001850_1.png
207,001851,s2,EXP 202111216,,EXP 202111216,사용자 비고,,001851_0.png
208,001853,s2,EXP:,,EXP:,사용자 비고,,001853_0.png
209,001864,det5,04d8/2D23,04/08/2023,04d8/2D23,사용자 비고,,001864_1.png
210,001880,clahe,202409-01,2024.09.01,202409-01,사용자 비고,,001880_0.png
211,001881,fail,BEST IF USED BY,,BEST IF USED BY,v5 정답 확인,,001881_0.png
212,001882,rot90,BEST IF USED B,제외,BEST IF USED B,없음,,001882_1.png
213,001899,fail,BBE NOU 29 2021,,BBE NOU 29 2021,사용자 비고,,001899_0.png
214,001900,clahe,BBE MOU 29 2021,MOU가 아니라 NOV,BBE MOU 29 2021,사용자 비고,,001900_0.png
215,001911,erode3,"21MAY2021,1319",,"21MAY2021,1319",v5 정답 확인,,001911_4.png
216,001916,det5,EXP JUN 24 2021,,EXP JUN 24 2021,v5 정답 확인,,001916_0.png
217,001924,hires,2020.01.21까지,2022.01.21(글자 배경 겹침),2022.01.21까지,사용자 비고,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,001924_0.png
218,001937,rot180,800-2-8 151226,제외,800-2-8 151226,비고: 맞음 표기,,001937_0.png
219,001939,clahe,L14.03.21,14.03.21,L14.03.21,v5 정답 확인,,001939_0.png
220,001945,fail,Best before end:,,Best before end:,사용자 비고,,001945_1.png
221,001947,det5,Best before ·,,Best before ·,v5 정답 확인,,001947_0.png
222,001947,det5,EXP: 10 AU8 2022,AUG(AU8이 아님),EXP: 10 AU6 2022,v5 정답 확인,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,001947_2.png
223,001947,det5,Lot No:,,Lot No:,v5 정답 확인,,001947_5.png
224,001956,det5,유동기한,유통기한,유동기한,v5 정답 확인,,001956_1.png
225,001956,det5,제품 별도시된 Best before 월/년의 01일까지,,제품 별도시된 Best before 월/년의 01일까지,v5 정답 확인,,001956_2.png
226,001956,det5,-OCT202,OCT.2021,-OCT202,v5 정답 확인,,001956_6.png
227,001957,det5,Best before end :,,Best before end :,v5 정답 확인,,001957_1.png
228,001957,det5,--OCT.2021,,--OCT.2021,v5 정답 확인,,001957_3.png
229,001957,det5,제품별도표시된 Best before:월/년의 01일까지,,제품별도표시된 Best before:월/년의 01일까지,v5 정답 확인,,001957_5.png
230,001971,det5,Best before:,,Best before:,v5 정답 확인,,001971_1.png
231,001971,det5,18.06.2021,,18.06.2021,v5 정답 확인,,001971_3.png
232,001973,s2,사용기한:2023.03-15,2023.03.15,사용기한:2023.03-15,v5 정답 확인,,001973_1.png
233,001974,fail,09.2021 - 14:35/1914619,,09.2021 - 14:35/1914619,사용자 비고,,001974_2.png
234,001978,clahe,2020.11.0420:386,11.04까지,2020.11.0420:386,v5 정답 확인,,001978_0.png
235,001979,clahe,2020.11.0420:38,11.04까지,2020.11.0420:38,v5 정답 확인,,001979_0.png
236,001987,clahe,2021-12.28,,2021-12.28,v5 정답 확인,,001987_0.png
237,001988,fail,2.28,12.28(바운딩박스 문제),2.28,사용자 비고,,001988_0.png
238,002009,det5,"N,TAIbAN);BEST BEFORE 02122021CAJSTRALIA)",02 12 2021,"N,TAIbAN);BEST BEFORE 02122021CAJSTRALIA)",v5 정답 확인,,002009_0.png
239,002010,s2,"N,TAIWAN);BEST BEF0RE 02 12 2021(AJSTRALIA)",02 12 2021,"N,TAIWAN);BEST BEF0RE 02 12 2021(AJSTRALIA)",v5 정답 확인,,002010_0.png
240,002019,clahe,9-03-2022,,9-03-2022,v5 정답 확인,,002019_0.png
241,002052,fail,유동기한,유통기한,유동기한,사용자 비고,,002052_0.png
242,002052,fail,Expiry Date,,Expiry Date,사용자 비고,,002052_2.png
243,002052,fail,13:45,,13:45,사용자 비고,,002052_3.png
244,002054,fail,12 2021,,12 2021,사용자 비고,,002054_7.png
245,002055,fail,Best before end,,Best before end,사용자 비고,,002055_0.png
246,002055,fail,12 2021,,12 2021,사용자 비고,,002055_4.png
247,002060,fail,u(2018년 9월 개분),개분이 아니라 기준,u(2018년 9월 개분),ExpDate,,002060_0.png
248,002060,fail,04.1715:59,04.17까지 15:59,04.1715:59,ExpDate,,002060_1.png
249,002061,fail,04.1715:59,04.17까지 15:59,04.1715:59,없음,,002061_1.png
250,002073,det5,0년까지),제외,0년까지),v5 정답 확인,,002073_2.png
251,002073,det5,24/12/21×21,x21는 없음,24/12/21×21,v5 정답 확인,,002073_3.png
252,002125,fail,BEST BY 21APR/21,2021-04-21 00:00:00,BEST BY 21APR/21,사용자 비고,,002125_0.png
253,002126,fail,BEST BY 21 CPR/21,2021-04-21 00:00:00,BEST BY 21 CPR/21,없음,,002126_0.png
254,002157,up2x,BEST BEFORE:,,BEST BEFORE:,v5 정답 확인,,002157_3.png
255,002183,clahe,2019.02:20,,2019.02:20,v5 정답 확인,,002183_1.png
256,002183,clahe,까지,,까지,v5 정답 확인,,002183_2.png
257,002183,clahe,13:24,,13:24,v5 정답 확인,,002183_3.png
258,002208,erode5,EXP 2022 05.31,,EXP 2022 05.31,v5 정답 확인,,002208_0.png
259,002220,det5,SEP.30.2019 SEP·30·219,,SEP.30.2019 SEP·30·219,v5 정답 확인,,002220_0.png
260,002220,det5,00:59,,00:59,v5 정답 확인,,002220_1.png
261,002227,det5,a2023. 03 28,2023.03.03,a2023. 03 03,사용자 비고,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,002227_1.png
262,002228,det5,28/03/302,2028-03-23 00:00:00,28/03/302,사용자 비고,,002228_0.png
263,002240,fail,BEST IF USED,,BEST IF USED,v5 정답 확인,,002240_0.png
264,002240,fail,08:44:00,,08:44:00,v5 정답 확인,,002240_2.png
265,002241,fail,BEST Ir USED,IF,BEST Ir USED,v5 정답 확인,,002241_0.png
266,002241,fail,08:44.00,,08:44.00,v5 정답 확인,,002241_2.png
267,002244,erode5,EXP21/05/21,,EXP21/05/21,v5 정답 확인,,002244_1.png
268,002245,clahe,EXP21/05/21,,EXP21/05/21,v5 정답 확인,,002245_0.png
269,002264,rot180,20211207,2021 12 01,20211207,사용자 비고,,002264_0.png
270,002269,det5,16/03/21 121,,16/03/21 121,사용자 비고,,002269_0.png
271,002277,erode3,BEST BY JUL 2023,,BEST BY JUL 2023,사용자 비고,,002277_0.png
272,002281,rot90,07.2022,,07.2022,사용자 비고,,002281_1.png
273,002282,fail,07.2022,,07.2022,사용자 비고,,002282_0.png
274,002284,det5,21.01.07,,21.01.07,v5 정답 확인,,002284_0.png
275,002284,det5,22.01/06,,22.01/06,v5 정답 확인,,002284_1.png
276,002284,det5,까지,,까지,v5 정답 확인,,002284_2.png
277,002284,det5,원까지생각한다면고려온단,,원까지생각한다면고려온단,v5 정답 확인,,002284_3.png
278,002312,s2,제 조12020:08.17,,제 조12020:08.17,v5 정답 확인,,002312_0.png
279,002322,fail,04.15까지,,04.15까지,ExpDate,,002322_0.png
280,002323,fail,04.15까지,,04.15까지,없음,,002323_1.png
281,002331,clahe,2021.12.16,,2021.12.16,v5 정답 확인,,002331_0.png
282,002345,det5,2.127 12052D,02.12까지(도트문자열),1.127 12052D,ExpDate,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,002345_0.png
283,002346,clahe,02.12까지 120520,02.12까지(도트문자열),02.12까지 120520,없음,,002346_0.png
284,002368,det5,내포장재질-폴리에렌유통기한별도표시일까지제조원 및 판매원한국맥널,제외,내포장재질-폴리에렌유통기한별도표시일까지제조원 및 판매원한국맥널,v5 정답 확인,,002368_0.png
285,002368,det5,유통기한,,유통기한,v5 정답 확인,,002368_6.png
286,002368,det5,E0EE 2022.01.16,,E0EE 2022.01.16,v5 정답 확인,,002368_7.png
287,002373,erode5,2021.12.27,,2021.12.2,v5 정답 확인,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,002373_0.png
288,002390,erode5,2021.03- 18,,2021.03- 19,사용자 비고,프리필로 날짜를 고친 행. 크롭에 안 보이는 숫자면 제외 선택,002390_1.png
289,002393,fail,BEST WHEN USED BY DATE SHOWN,,BEST WHEN USED BY DATE SHOWN,사용자 비고,,002393_0.png
290,002397,clahe,2022.01.25,,2022.01.25,v5 정답 확인,,002397_0.png
291,002397,clahe,까지,,까지,v5 정답 확인,,002397_1.png
292,002398,erode5,BE:SEP 18 2021,,BE:SEP 18 2021,v5 정답 확인,,002398_0.png
293,002401,up2x,"유통기한]별도표기일까지 (연,월,일순)",제외,"유통기한]별도표기일까지 (연,월,일순)",v5 정답 확인,,002401_1.png
