image_id,gold,P0_ko_first,P1_ch_first,P2_more_digits,P3_ch_if_disagree_year
000125,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07
000126,2026-06-12,2026-06-12,2026-06-12,2026-06-12,2026-06-12
000127,2026-04-27,2026-04-27,2026-04-27,2026-04-27,2026-04-27
000128,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-05-28
000129,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09
000130,2027-02-05,2027-02-05,2027-02-05,2027-02-05,2027-02-05
000131,2026-08-05,2026-08-05,2026-08-05,2026-08-05,2026-08-05
000132,2026-08-21,2026-08-21,2026-08-21,2026-08-21,2026-08-21
000133,2025-11-25,2025-11-25,2025-11-25,2025-11-25,2025-11-25
000134,2026-09-23,2026-09-23,2026-09-23,2026-09-23,2026-09-23
000135,2026-04-18,2026-04-18,2026-04-18,2026-04-18,2026-04-18
000136,2025-12-02,2025-12-02,2025-12-02,2025-12-02,2025-12-02
000137,2026-03-26,2026-03-26,2026-03-26,2026-03-26,2026-03-26
000138,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14
000139,2026-07-26,2026-07-26,2026-07-26,2026-07-26,2026-07-26
000140,2026-07-14,2026-07-14,2026-07-14,2026-07-14,2026-07-14
000141,2026-09-17,2026-09-17,2026-09-17,2026-09-17,2026-09-17
000142,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14
000143,2027-03-06,2027-03-06,2027-03-06,2027-03-06,2027-03-06
000144,2027-03-25,2027-03-25,2027-03-25,2027-03-25,2027-03-25
000145,2027-03-24,2027-03-24,2027-03-24,2027-03-24,2027-03-24
000146,2026-04-03,2026-04-03,2026-04-03,2026-04-03,2026-04-03
000147,2026-03-21,2026-03-21,2026-03-21,2026-03-21,2026-03-21
000148,2026-02-26,2026-02-26,2026-02-26,2026-02-26,2026-02-26
000149,2026-04-28,2026-04-28,2026-04-28,2026-04-28,2026-04-28
000150,2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-12
000151,2026-09-07,2026-09-07,2026-09-07,2026-09-07,2026-09-07
000152,2026-07-31,NONE,NONE,NONE,NONE
000153,2026-10-12,2026-10-12,2026-10-12,2026-10-12,2026-10-12
000154,2027-08-13,2027-08-13,2027-08-13,2027-08-13,2027-08-13
000155,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22
000156,2026-07-29,2026-07-29,2026-07-29,2026-07-29,2026-07-29
000157,2027-07-08,NONE,NONE,NONE,NONE
000158,2028-07-20,2028-07-20,2028-07-20,2028-07-20,2028-07-20
000159,2027-01-08,NONE,NONE,NONE,NONE
000160,2026-10-27,2026-10-27,2026-10-27,2026-10-27,2026-10-27
000161,2027-05-10,2027-05-10,2027-05-10,2027-05-10,2027-05-10
000162,2027-06-12,2027-06-12,2027-06-12,2027-06-12,2027-06-12
000163,2026-11-20,2026-11-20,2026-11-20,2026-11-20,2026-11-20
000164,2026-04-27,2026-04-27,2026-04-27,2026-04-27,2026-04-27
000165,2027-01-13,2027-01-13,2027-01-13,2027-01-13,2027-01-13
000166,2027-08-18,2027-08-18,2027-08-18,2027-08-18,2027-08-18
000167,2026-08-07,2026-08-07,2026-08-07,2026-08-07,2026-08-07
000168,2026-02-16,2026-02-16,2026-02-16,2026-02-16,2026-02-16
000169,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2026-03-18
000170,2026-09-07,2026-09-07,2026-09-07,2026-09-07,2026-09-07
000171,2026-05-27,2026-05-27,2026-05-27,2026-05-27,2026-05-27
000172,2026-06-10,2026-06-10,2026-06-10,2026-06-10,2026-06-10
000173,2026-09-17,2026-09-17,2026-09-17,2026-09-17,2026-09-17
000174,2026-09-05,2026-09-05,2026-09-05,2026-09-05,2026-09-05
000175,2026-06-28,2026-06-28,2026-06-28,2026-06-28,2026-06-28
000176,2026-09-22,2026-09-22,2026-09-22,2026-09-22,2026-09-22
000177,2026-08-18,2026-08-18,2026-08-18,2026-08-18,2026-08-18
000178,2026-06-26,2026-06-25,2026-06-25,2026-06-25,2026-06-25
000179,2026-06-29,2026-06-29,2026-06-29,2026-06-29,2026-06-29
000180,2026-06-25,2026-06-02,2026-06-02,2026-06-02,2026-06-02
000181,2026-09-08,2026-09-08,2026-09-08,2026-09-08,2026-09-08
000182,2026-10-01,2026-10-01,2026-10-01,2026-10-01,2026-10-01
000183,2027-07-28,2027-07-28,2027-07-28,2027-07-28,2027-07-28
000184,2027-11-19,2027-11-19,2027-11-19,2027-11-19,2027-11-19
000185,2028-03-15,2028-03-15,2028-03-15,2028-03-15,2028-03-15
000186,2028-04-14,2028-04-14,2028-04-14,2028-04-14,2028-04-14
000187,2028-02-05,2028-02-05,2028-02-05,2028-02-05,2028-02-05
000188,2027-09-30,2027-09-30,2027-09-30,2027-09-30,2027-09-30
000189,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25
000190,2026-11-22,NONE,NONE,NONE,NONE
000191,2026-06-15,NONE,NONE,NONE,NONE
000192,2026-06-24,NONE,NONE,NONE,NONE
000193,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06
000194,2027-04-23,2027-04-23,2027-04-23,2027-04-23,2027-04-23
000195,2027-07-01,2027-07-01,2027-07-01,2027-07-01,2027-07-01
000196,2027-02-27,2027-02-27,2027-02-27,2027-02-27,2027-02-27
000197,2026-07-30,2026-07-30,2026-07-30,2026-07-30,2026-07-30
000198,2026-05-08,NONE,NONE,NONE,NONE
000199,2027-09-07,2027-09-07,2027-09-07,2027-09-07,2027-09-07
000200,2027-07-14,NONE,NONE,NONE,NONE
000201,2027-03-30,2027-03-30,2027-03-30,2027-03-30,2027-03-30
000202,2027-02-06,2027-02-06,2027-02-06,2027-02-06,2027-02-06
000203,2026-07-01,NONE,NONE,NONE,NONE
000204,2026-06-18,2026-06-18,2026-06-18,2026-06-18,2026-06-18
000205,2027-05-18,2027-05-18,2027-05-18,2027-05-18,2027-05-18
000206,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08
000207,2026-09-24,2026-09-24,2026-09-24,2026-09-24,2026-09-24
000208,2026-04-13,2026-04-13,2026-04-13,2026-04-13,2026-04-13
000209,2027-06-11,NONE,NONE,NONE,NONE
000210,2027-05-20,NONE,NONE,NONE,NONE
000211,2026-02-12,2026-02-12,2026-02-12,2026-02-12,2026-02-12
000212,2026-12-16,NONE,NONE-12-16,NONE-12-16,NONE-12-16
000213,2026-03-20,2026-03-20,2026-03-20,2026-03-20,2026-03-20
000214,2026-08-13,2026-08-13,2026-08-13,2026-08-13,2026-08-13
000215,2026-10-14,NONE,NONE,NONE,NONE
000216,2026-03-16,2026-03-16,2026-03-16,2026-03-16,2026-03-16
000217,2027-03-08,2027-03-08,2027-03-08,2027-03-08,2027-03-08
000218,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03
000219,2026-09-07,2026-09-07,2026-09-07,2026-09-07,2026-09-07
000220,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-02-23
000221,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2026-07-15
000222,2026-03-25,2026-03-25,2026-03-25,2026-03-25,2026-03-25
000223,2026-08-13,2026-08-13,2026-08-13,2026-08-13,2026-08-13
000224,2026-06-15,2026-06-15,2026-06-15,2026-06-15,2026-06-15
000225,2026-04-06,2026-04-06,2026-04-06,2026-04-06,2026-04-06
000226,2027-03-15,2027-03-15,2027-03-15,2027-03-15,2027-03-15
000227,2028-09-17,2028-09-17,2028-09-17,2028-09-17,2028-09-17
000228,2025-10-20,2025-10-02,2025-10-20,2025-10-20,2025-10-20
000229,2025-10-28,NONE,NONE,NONE,NONE
000230,2026-03-28,2026-03-28,2026-03-28,2026-03-28,2026-03-28
000231,2028-05-27,2028-05-27,2028-05-27,2028-05-27,2028-05-27
000232,2027-11-26,NONE,NONE,NONE,NONE
000233,2028-01-13,NONE,NONE,NONE,NONE
000234,2026-10-27,2026-10-27,2026-10-27,2026-10-27,2026-10-27
000235,2026-03-08,NONE,NONE,NONE,NONE
000236,2026-04-08,2026-04-08,2026-04-08,2026-04-08,2026-04-08
000237,2026-06-05,NONE,NONE,NONE,NONE
000238,2026-09-10,2026-09-10,2026-09-10,2026-09-10,2026-09-10
000239,2026-07-10,2026-07-10,2026-07-10,2026-07-10,2026-07-10
000240,2027-05-20,2027-05-20,2027-05-20,2027-05-20,2027-05-20
000241,2027-08-10,2027-08-10,2027-08-10,2027-08-10,2027-08-10
000242,2026-05-21,2026-05-21,2026-05-21,2026-05-21,2026-05-21
000243,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-17
000244,2026-06-21,2026-06-02,2026-06-21,2026-06-21,2026-06-21
000245,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24
000246,2026-02-04,2026-02-04,2026-02-04,2026-02-04,2026-02-04
000247,2026-05-20,2026-05-20,2026-05-20,2026-05-20,2026-05-20
000248,2026-04-21,2026-04-21,2026-04-21,2026-04-21,2026-04-21
000249,2026-02-16,2026-02-16,2026-02-16,2026-02-16,2026-02-16
000250,2026-03-04,2026-03-04,2026-03-04,2026-03-04,2026-03-04
000251,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24
000252,2026-07-09,2026-07-09,2026-07-09,2026-07-09,2026-07-09
000253,2026-06-20,2026-06-20,2026-06-20,2026-06-20,2026-06-20
000254,2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-12
000255,2026-08-20,NONE,NONE,NONE,NONE
000256,2027-01-02,2027-01-02,2027-01-02,2027-01-02,2027-01-02
000257,2025-12-10,2025-12-10,2025-12-10,2025-12-10,2025-12-10
000258,2026-05-30,2026-05-30,2026-05-30,2026-05-30,2026-05-30
000259,2025-11-09,2025-11-09,2025-11-09,2025-11-09,2025-11-09
000260,2027-04-01,2027-04-01,2027-04-01,2027-04-01,2027-04-01
000261,2026-03-07,2026-03-07,2026-03-07,2026-03-07,2026-03-07
000262,2027-01-10,2027-01-10,2027-01-10,2027-01-10,2027-01-10
000263,2028-01-22,NONE,NONE,NONE,NONE
000264,2026-06-06,2026-06-06,2026-06-06,2026-06-06,2026-06-06
000265,2026-11-26,2026-11-26,2026-11-26,2026-11-26,2026-11-26
000266,2025-12-04,2025-12-04,2025-12-04,2025-12-04,2025-12-04
000267,2026-06-02,2026-06-02,2026-06-02,2026-06-02,2026-06-02
000268,2026-07-14,2026-07-14,2026-07-14,2026-07-14,2026-07-14
000269,2026-05-15,2026-05-15,2026-05-15,2026-05-15,2026-05-15
000270,2026-09-03,2026-09-03,2026-09-03,2026-09-03,2026-09-03
000271,2026-03-24,2026-03-24,2026-03-24,2026-03-24,2026-03-24
000272,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10
000273,2026-03-13,2026-03-13,2026-03-13,2026-03-13,2026-03-13
000274,2026-03-02,2026-03-02,2026-03-02,2026-03-02,2026-03-02
000275,2026-04-23,2026-04-23,2026-04-23,2026-04-23,2026-04-23
000276,2026-03-25,NONE,NONE,NONE,NONE
000277,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2026-07-15
000278,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22
000279,2026-06-02,2026-06-02,2026-06-02,2026-06-02,2026-06-02
000280,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2026-03-23
000281,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2026-07-15
000282,2026-09-10,2026-09-10,2026-09-10,2026-09-10,2026-09-10
000283,2027-09-17,2027-09-17,2027-09-17,2027-09-17,2027-09-17
000284,2026-08-20,2026-08-20,2026-08-20,2026-08-20,2026-08-20
000285,2027-07-02,2027-07-02,2027-07-02,2027-07-02,2027-07-02
000286,2027-03-11,2027-03-11,2027-03-11,2027-03-11,2027-03-11
000287,2027-02-18,NONE,NONE,NONE,NONE
000288,2028-07-25,2029-07-25,2029-07-25,2029-07-25,2029-07-25
000289,2030-07-23,NONE,NONE,NONE,NONE
000290,2027-03-02,2027-03-02,2027-03-02,2027-03-02,2027-03-02
000291,2027-07-21,2027-07-21,2027-07-21,2027-07-21,2027-07-21
000292,2026-02-13,2026-02-13,2026-02-13,2026-02-13,2026-02-13
000293,2025-10-24,2025-10-24,2025-10-24,2025-10-24,2025-10-24
000294,2026-09-08,2026-09-08,2026-09-08,2026-09-08,2026-09-08
000295,2025-11-08,2025-11-08,2025-11-08,2025-11-08,2025-11-08
000296,2026-07-28,2026-07-28,2026-07-28,2026-07-28,2026-07-28
000297,2026-04-08,2026-04-08,2026-04-08,2026-04-08,2026-04-08
000298,2026-09-11,2026-09-11,2026-09-11,2026-09-11,2026-09-11
000299,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13
000300,2026-05-21,2026-05-21,2026-05-21,2026-05-21,2026-05-21
000301,2027-04-09,2027-04-09,2027-04-09,2027-04-09,2027-04-09
000302,2026-03-15,2026-03-15,2026-03-15,2026-03-15,2026-03-15
000303,2026-07-31,2020-07-31,2026-07-31,2026-07-31,2026-07-31
000304,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01
000305,2026-02-24,NONE,NONE,NONE,NONE
000306,2026-09-16,2026-09-16,2026-09-16,2026-09-16,2026-09-16
000307,2025-11-14,2025-11-14,2025-11-14,2025-11-14,2025-11-14
000308,2025-12-04,2025-12-04,2025-12-04,2025-12-04,2025-12-04
000309,2027-04-01,NONE,NONE,NONE,NONE
000310,2026-09-28,2026-09-28,2026-07-28,2026-07-28,2026-07-28
000311,2026-08-09,2026-08-09,2026-08-09,2026-08-09,2026-08-09
000312,2026-08-26,2026-08-26,2026-08-26,2026-08-26,2026-08-26
000313,2026-03-17,NONE,NONE,NONE,NONE
000314,2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-01
000315,2026-07-19,2026-07-19,2026-07-19,2026-07-19,2026-07-19
000316,2027-03-01,2027-03-01,2027-03-01,2027-03-01,2027-03-01
000317,2025-11-15,2025-11-15,2025-11-15,2025-11-15,2025-11-15
000318,2025-11-09,2025-11-09,2025-11-09,2025-11-09,2025-11-09
000319,2026-02-14,2026-02-14,2026-02-14,2026-02-14,2026-02-14
000320,2025-11-12,2025-11-12,2025-11-12,2025-11-12,2025-11-12
000321,2025-10-29,2025-10-29,2025-10-29,2025-10-29,2025-10-29
000322,2025-10-29,2025-10-29,2025-10-29,2025-10-29,2025-10-29
000323,2025-12-21,2025-12-21,2025-12-21,2025-12-21,2025-12-21
000324,2027-05-15,2027-05-15,2027-05-15,2027-05-15,2027-05-15
000325,2025-11-03,2025-11-03,2025-11-03,2025-11-03,2025-11-03
000326,2025-10-18,2025-10-18,2025-10-18,2025-10-18,2025-10-18
000327,2025-10-21,2025-10-21,2025-10-21,2025-10-21,2025-10-21
000328,2025-12-25,2025-12-25,2025-12-25,2025-12-25,2025-12-25
000329,2025-12-25,2025-12-25,2025-12-25,2025-12-25,2025-12-25
000330,2025-11-02,2025-11-02,2025-11-02,2025-11-02,2025-11-02
000331,2025-10-31,2025-10-31,2025-10-31,2025-10-31,2025-10-31
000332,2025-10-22,2025-10-22,2025-10-22,2025-10-22,2025-10-22
000333,2025-11-07,2025-11-07,2025-11-07,2025-11-07,2025-11-07
000334,2026-03-15,2026-03-15,2026-03-15,2026-03-15,2026-03-15
000335,2025-11-28,2025-11-28,2025-11-28,2025-11-28,2025-11-28
000336,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20
000337,2025-12-09,2025-12-09,2025-12-09,2025-12-09,2025-12-09
000338,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-05-28
000339,2026-08-18,2026-08-18,2026-08-18,2026-08-18,2026-08-18
000340,2026-08-11,2026-08-11,2026-08-11,2026-08-11,2026-08-11
000341,2026-04-29,2026-04-29,2026-04-29,2026-04-29,2026-04-29
000342,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22
000343,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30
000344,2026-08-04,2026-08-04,2026-08-04,2026-08-04,2026-08-04
000345,2026-04-09,2026-04-09,2026-04-09,2026-04-09,2026-04-09
000346,2026-05-15,2026-05-15,2026-05-15,2026-05-15,2026-05-15
000347,2027-05-26,2027-05-26,2027-05-26,2027-05-26,2027-05-26
000348,2026-04-02,2026-04-02,2026-04-02,2026-04-02,2026-04-02
000349,2025-12-07,2025-12-07,2025-12-07,2025-12-07,2025-12-07
000350,2027-05-15,2027-05-15,2027-05-15,2027-05-15,2027-05-15
000351,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03
000352,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27
000353,2026-03-08,2026-03-08,2026-03-08,2026-03-08,2026-03-08
000354,2027-07-06,2027-07-06,2027-07-06,2027-07-06,2027-07-06
000355,2028-06-17,NONE,NONE,NONE,NONE
000356,2027-09-16,2027-03-17,2027-03-17,2027-03-17,2027-03-17
000357,2027-08-11,2027-08-11,2027-08-11,2027-08-11,2027-08-11
000358,2027-09-16,2027-09-16,2027-09-16,2027-09-16,2027-09-16
000359,2026-06-16,NONE,NONE,NONE,NONE
000360,2026-02-18,NONE,NONE,NONE,NONE
000361,2026-12-19,NONE,NONE,NONE,NONE
000362,2026-08-11,2026-08-11,2026-08-11,2026-08-11,2026-08-11
000363,2026-04-21,2026-04-21,2026-04-21,2026-04-21,2026-04-21
000364,2026-06-04,NONE,NONE,NONE,NONE
000365,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11
000366,2026-09-05,2026-09-05,2026-09-05,2026-09-05,2026-09-05
000367,2026-05-18,2026-05-18,2026-05-18,2026-05-18,2026-05-18
000368,2026-09-22,NONE,NONE,NONE,NONE
000369,2027-06-25,2027-06-25,2027-06-25,2027-06-25,2027-06-25
000370,2026-09-02,NONE,NONE,NONE,NONE
000371,2026-02-15,2026-02-15,2026-02-15,2026-02-15,2026-02-15
000372,2026-09-15,2026-09-15,2026-09-15,2026-09-15,2026-09-15
000373,2026-09-18,NONE,NONE,NONE,NONE
000374,2026-08-28,2026-08-20,2026-08-20,2026-08-20,2026-08-20
000375,2026-05-31,2026-05-31,2026-05-31,2026-05-31,2026-05-31
000376,2025-10-07,2025-10-07,2025-10-07,2025-10-07,2025-10-07
000377,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01
000378,2026-05-29,2026-05-29,2026-05-29,2026-05-29,2026-05-29
000379,2026-09-05,2026-09-05,2026-09-05,2026-09-05,2026-09-05
000380,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02
000381,2027-01-20,NONE,NONE,NONE,NONE
000382,2026-08-18,2026-08-18,2026-08-18,2026-08-18,2026-08-18
