image_id,year,month,day,final_date,stage,texts,raw
000011,2026,02,05,2026-02-05,s1,리츠 치즈 | 리츠 치즈 | RITZ | RITZ | CHEESE | 2026.02.05 0,"[[""리츠"", 117, 154, 39], [""치즈"", 63, 32, 177], [""리츠"", 203, 92, 82], [""치즈"", 179, 26, 202], [""RITZ"", 277, 60, 89], [""RITZ"", 464, 107, 274], [""CHEESE"", 562, 48, 281], [""2026.02.05 0"", 653, 42, 232]]"
000012,2026,03,23,2026-03-23,s1,ARLEY HARDI | 공한 | OTHER 사광 ma | 용물의 파손을 막기 | ircushion)을하 | 1정·불량 식품 신 | 180941318821641 | 소비기한: | 2026-03-23 까지,"[[""ARLEY HARDI"", 66, 58, 498], [""공한"", 165, 48, 80], [""OTHER"", 388, 37, 253], [""사광 ma"", 402, 35, 593], [""용물의 파손을 막기"", 432, 33, 608], [""ircushion)을하"", 450, 35, 610], [""1정·불량 식품 신"", 467, 34, 614], [""180941318821641"", 471, 41, 260], [""소비기한:"", 519, 42, 226], [""2026-03-23"", 578, 37, 263], [""까지"", 578, 26, 456]]"
000013,2026,03,20,2026-03-20,s1,"ONEY MUSTAF | 기한 | EL 2026.03.20A | 첼 품명:프레첼허니향머 | TARD H名号:85 g(409kcal | E 품유형:과자(유처리 | 나드맛 넘기도파주시월통산로40 | 러드머스타 | E 변성전분 데스E | 당가공소금정제소금 제상인 | 사양벌꿀 | 김.대두,우유","[[""ONEY MUSTAF"", 41, 46, 100], [""기한"", 419, 26, 256], [""EL"", 452, 41, 3], [""2026.03.20A"", 460, 41, 285], [""첼"", 530, 127, 0], [""품명:프레첼허니향머"", 580, 33, 246], [""TARD"", 620, 49, 0], [""H名号:85 g(409kcal"", 605, 30, 246], [""품유형:과자(유처리"", 627, 26, 246], [""E"", 638, 25, 1], [""나드맛"", 666, 32, 0], [""넘기도파주시월통산로40"", 662, 27, 241], [""러드머스타"", 712, 44, 247], [""E 변성전분 데스E"", 731, 35, 239], [""당가공소금정제소금 제상인"", 750, 37, 240], [""사양벌꿀"", 773, 32, 243], [""김.대두,우유"", 798, 34, 245]]"
000014,2026,01,31,2026-01-31,s1,"한국식 스웨데젤리식품의유형캔디류 号丘7120100211096119 | 100g(360kcal) | TEL031-957-4788 | 돼지고기,우유함유 | (식용색소황색제4호,식용색소청색제1호) | 영양정보 총내용량당 | 총내용량 나트륨44mg 2% 지방0g 0% 26.01.31 | 100g 全支号88g 27% 트랜스지방0g 까지 | 360 kal 당류 7g 7% 포화지방0g 0% | 콜레스테를Omg 단백질19 2% | OTHER | 031- | 손비장 957-4788 | 상담실","[[""한국식 스웨데젤리식품의유형캔디류"", 144, 60, 20], [""号丘7120100211096119"", 157, 42, 145], [""100g(360kcal)"", 170, 31, 24], [""TEL031-957-4788"", 219, 32, 20], [""돼지고기,우유함유"", 344, 28, 333], [""(식용색소황색제4호,식용색소청색제1호)"", 358, 45, 27], [""영양정보"", 530, 29, 3], [""총내용량당"", 530, 26, 46], [""총내용량"", 554, 29, 4], [""나트륨44mg"", 551, 24, 54], [""2%"", 550, 21, 151], [""지방0g"", 550, 24, 186], [""0%"", 547, 20, 291], [""26.01.31"", 551, 35, 370], [""100g"", 574, 25, 18], [""全支号88g"", 573, 32, 54], [""27%"", 574, 23, 148], [""트랜스지방0g"", 574, 26, 202], [""까지"", 565, 20, 474], [""360 kal"", 593, 26, 13], [""당류 7g"", 596, 29, 67], [""7%"", 598, 25, 156], [""포화지방0g"", 598, 26, 203], [""0%"", 596, 20, 292], [""콜레스테를Omg"", 618, 32, 60], [""단백질19"", 622, 24, 195], [""2%"", 620, 23, 292], [""OTHER"", 638, 29, 393], [""031-"", 698, 31, 390], [""손비장"", 711, 26, 308], [""상담실"", 728, 28, 307], [""957-4788"", 713, 45, 372]]"
000015,2026,03,01,2026-03-01,s1,"Market | 마켓오 브리우니 | 소비 2025,09,02/21:35 부터 | E 기한 2026,03,01/A 까지 | Ket • | ACE2008 | New","[[""Market"", 212, 81, 31], [""마켓오 브리우니"", 251, 48, 81], [""E"", 652, 93, 3], [""2025,09,02/21:35"", 614, 31, 298], [""소비"", 626, 25, 212], [""부터"", 617, 26, 511], [""기한"", 648, 27, 212], [""2026,03,01/A"", 638, 29, 298], [""까지"", 639, 22, 509], [""Ket"", 818, 93, 12], [""•"", 838, 59, 224], [""ACE2008"", 870, 36, 0], [""New"", 914, 93, 344]]"
000016,2026,01,22,2026-01-22,s1,"에서 제조하고 있습니 ·직17""서을 피하고 서늘하고 건조한 곳에보 | 개봉 후 바로 드십시오. | 새우가 쏙~ 으로 검게 보이는 것으로 안심하고 드셔도 | 표던 가 동색 입자는 파슬리 입니다. | 사자 본팀에 의거 교환,환불해드립니다 | 139 | ·반품 본사 및 구입한 곳. | 새우와 밀가루를잘혼합한 후스팀을 ·신지를 위해 질소충전포장을 하였습니 | 이용하여 만든 반족을 클러로 앞게 밀어주고 | 식동인전원리인경 | HACCP | y어 | 구원 줍니다. 38010430360 | 2026.01.22까지 Oniainal | ④ | 드레싱을 골고루 뿌려완성 | 직구 방동) ※농심의 독자적인 설비와 공법으로 만들거, 영양정보 총내용80 | 가정에서 동일하게 만들기는 어렵습니다. 410kcal | 수신자요금부담 농심물 바르라기 层量460mg23%个量52g16% | 023-5181 | 2","[[""에서 제조하고 있습니"", 21, 42, 286], [""·직17\""서을 피하고 서늘하고 건조한 곳에보"", 33, 69, 280], [""개봉 후 바로 드십시오."", 65, 50, 288], [""으로 검게 보이는 것으로 안심하고 드셔도"", 101, 65, 290], [""새우가 쏙~"", 134, 29, 0], [""표던 가 동색 입자는 파슬리 입니다."", 128, 57, 290], [""사자 본팀에 의거 교환,환불해드립니다"", 148, 59, 290], [""139"", 172, 55, 290], [""·반품 본사 및 구입한 곳."", 199, 43, 291], [""새우와 밀가루를잘혼합한 후스팀을"", 239, 66, 23], [""·신지를 위해 질소충전포장을 하였습니"", 216, 57, 287], [""이용하여 만든 반족을 클러로 앞게 밀어주고"", 259, 74, 16], [""식동인전원리인경"", 300, 26, 303], [""HACCP"", 316, 27, 303], [""y어"", 358, 20, 2], [""38010430360"", 348, 34, 409], [""구원 줍니다."", 370, 36, 4], [""Oniainal"", 424, 29, 596], [""2026.01.22까지"", 449, 34, 331], [""④"", 488, 20, 48], [""드레싱을 골고루 뿌려완성"", 517, 53, 38], [""영양정보"", 576, 39, 304], [""총내용80"", 555, 43, 518], [""※농심의 독자적인 설비와 공법으로 만들거,"", 591, 32, 32], [""410kcal"", 574, 34, 536], [""직구"", 590, 23, 0], [""방동)"", 607, 30, 0], [""가정에서 동일하게 만들기는 어렵습니다."", 608, 38, 43], [""层量460mg23%个量52g16%"", 610, 55, 301], [""수신자요금부담"", 640, 41, 0], [""농심물 바르라기"", 636, 30, 133], [""023-5181"", 656, 35, 1], [""2"", 732, 41, 297]]"
000017,2026,11,25,2026-11-25,s1,"영양정보 총 내용량당 기준치에대한비율 1일영양성분 총 내용량당 | 나트름14mo 1% 지방 0e | 총내용량 48m 탄수화물19 0% 트랜스지방0g | 4kcal 당류 0g 0% 포화지방09 | 콜레스테롤Omg 0% 단택질0g | （2.000cal | 기준이으로,개인의 필요 열량에 따라다를 수 있습니다 | ©20r& LeeVin, ATOoNZ. All rights reserved. | 유통판매시법적벌을받습니다. | 2026.11.25","[[""1일영양성분"", 46, 30, 525], [""총 내용량당"", 56, 26, 601], [""영양정보"", 74, 47, 290], [""총 내용량당"", 64, 29, 398], [""기준치에대한비율"", 62, 32, 496], [""나트름14mo"", 94, 29, 400], [""1%"", 85, 20, 568], [""지방 0e"", 89, 32, 600], [""총내용량 48m"", 116, 42, 290], [""탄수화물19"", 122, 31, 401], [""0%"", 112, 23, 566], [""트랜스지방0g"", 116, 23, 608], [""4kcal"", 142, 23, 294], [""당류 0g"", 148, 29, 410], [""0%"", 140, 22, 566], [""포화지방09"", 143, 26, 608], [""콜레스테롤Omg"", 172, 23, 407], [""0%"", 168, 20, 568], [""단택질0g"", 171, 32, 600], [""（2.000cal"", 198, 33, 407], [""기준이으로,개인의 필요 열량에 따라다를 수 있습니다"", 216, 33, 408], [""©20r& LeeVin, ATOoNZ. All rights reserved."", 260, 37, 276], [""유통판매시법적벌을받습니다."", 311, 28, 278], [""2026.11.25"", 351, 32, 270]]"
000018,2025,04,02,2025-04-02,s1,OPEN | ABC | 코쿠키 OPEN | 맺있는 곡물로만든 t's ABe Time | 씨리얼 ABC | 초코 초코쿠키 | 쿠키앤크림 | kcal5%45% | ABC | 초코쿠키 | ：1801062879890 쿠키앤크림 | 25.4.2 B 까지 | 17:20 | 렛트 HEEDA,"[[""OPEN"", 28, 31, 661], [""ABC"", 62, 65, 478], [""씨리얼"", 116, 134, 168], [""맺있는 곡물로만든"", 76, 57, 209], [""코쿠키"", 106, 97, 455], [""초코"", 158, 47, 237], [""OPEN"", 140, 29, 616], [""ABC"", 209, 90, 515], [""t's ABe Time"", 191, 45, 593], [""초코쿠키"", 266, 131, 476], [""kcal5%45%"", 328, 95, 452], [""쿠키앤크림"", 313, 75, 519], [""ABC"", 447, 36, 524], [""：1801062879890"", 466, 32, 315], [""초코쿠키"", 494, 55, 507], [""25.4.2 B"", 512, 26, 266], [""쿠키앤크림"", 538, 33, 552], [""17:20"", 541, 28, 262], [""까지"", 554, 24, 495], [""렛트"", 638, 106, 236], [""HEEDA"", 722, 139, 454]]"
000019,2026,04,09,2026-04-09,s1,"4가지 지즈로더욱 풍부해진 | 치즈샌드 Rich, | 2025.07.10B | 부터 | 2026.04.09 까지맛있는약속 | Jig | LC","[[""4가지 지즈로더욱 풍부해진"", 210, 33, 278], [""치즈샌드"", 261, 62, 223], [""Rich,"", 272, 32, 472], [""2025.07.10B"", 350, 32, 239], [""부터"", 370, 20, 425], [""2026.04.09"", 392, 29, 245], [""까지맛있는약속"", 404, 22, 421], [""Jig"", 794, 35, 139], [""LC"", 936, 46, 495]]"
000020,2025,10,09,2025-10-09,s1,단팥이 가득 DELICIOUS | 단팥빵 | *SINCE | J94 | 나2025.10.09까지A1-5정영대 GOODQUA,"[[""단팥이 가득"", 181, 79, 214], [""DELICIOUS"", 170, 29, 472], [""단팥빵"", 256, 142, 107], [""*SINCE"", 413, 25, 601], [""J94"", 446, 50, 598], [""나2025.10.09까지A1-5정영대"", 476, 45, 244], [""GOODQUA"", 486, 20, 627]]"
000021,2025,10,10,2025-10-10,s1,헉 | 풍미를살린 패스쥬리 호밀 발효종을 넣어 부드러운 부담은 等1220 | 다25.10.10까지A신재명,"[[""호밀 발효종을 넣어 부드러운"", 270, 252, 162], [""풍미를살린 패스쥬리"", 264, 191, 130], [""헉"", 218, 47, 657], [""부담은"", 248, 22, 671], [""等1220"", 269, 30, 668], [""다25.10.10까지A신재명"", 582, 41, 233]]"
000022,2025,10,14,2025-10-14,s1,"KIRIN | 가영양 | 고구마 | 크림빵 25.10.14까지.A1.F2 | ESH SLOW BREAD | ""연출된 예 | 복합 | 특허유산균 | 구마/20%) 부담은","[[""KIRIN"", 236, 95, 93], [""가영양"", 290, 26, 25], [""고구마"", 330, 70, 42], [""크림빵"", 383, 102, 0], [""25.10.14까지.A1.F2"", 426, 88, 296], [""ESH SLOW BREAD"", 444, 55, 0], [""\""연출된 예"", 593, 48, 145], [""복합"", 665, 45, 468], [""특허유산균"", 715, 116, 371], [""구마/20%)"", 702, 45, 5], [""부담은"", 762, 93, 390]]"
000023,2025,10,10,2025-10-10,s1,빅단팥슈크림빵 | 25.10.10까지.A1/F2 | 맛도BG!기도B | 산균 | 공법 | 풍부한 단팥앙금 수크림 | 36o kcal),"[[""빅단팥슈크림빵"", 355, 178, 61], [""25.10.10까지.A1/F2"", 538, 68, 334], [""맛도BG!기도B"", 611, 40, 406], [""산균"", 723, 56, 0], [""공법"", 751, 48, 0], [""풍부한"", 779, 26, 0], [""36o kcal)"", 818, 45, 0], [""단팥앙금"", 832, 35, 376], [""수크림"", 846, 29, 507]]"
000024,2017,10,25,2017-10-25,clahe,"통밀시방 | 발효빵맞춤 | 허유산균 F.. | 요공법 25.10.117 | 부한 | 고 | 18.8.% | 0.002% 이미지 사진입니다. | (1,480kcal)","[[""통밀시방"", 207, 161, 129], [""발효빵맞춤"", 334, 35, 1], [""허유산균"", 370, 56, 0], [""F.."", 390, 41, 151], [""요공법"", 409, 49, 0], [""25.10.117"", 439, 79, 143], [""고"", 460, 12, 24], [""부한"", 448, 39, 50], [""18.8.%"", 626, 48, 0], [""0.002%"", 655, 50, 0], [""(1,480kcal)"", 686, 47, 2], [""이미지 사진입니다."", 698, 35, 521]]"
000025,2026,06,11,2026-06-11,s1,"닭고기 | '합포함),짓 | 2026.06.11A 까지","[[""닭고기"", 58, 41, 395], [""'합포함),짓"", 79, 65, 384], [""까지"", 342, 53, 464], [""2026.06.11A"", 382, 76, 182]]"
000026,2025,11,13,2025-11-13,s1,앤스지방 0g | 표화지방 5g | 콜레스테롤 0mg | 단백질 11g | 1일 영양성북 긴준침엘 대한 비육 | 에 따라다를 수있습니다. | OTI | 809486 992593 | 소비기한 | 2025.11.13 | 까지,"[[""앤스지방"", 54, 29, 264], [""0g"", 56, 27, 340], [""표화지방"", 74, 23, 251], [""5g"", 79, 26, 340], [""콜레스테롤"", 99, 34, 240], [""0mg"", 106, 28, 335], [""단백질"", 126, 29, 239], [""11g"", 131, 27, 323], [""1일 영양성북 긴준침엘 대한 비육"", 156, 41, 239], [""에 따라다를 수있습니다."", 185, 28, 238], [""OTI"", 336, 25, 492], [""809486"", 352, 20, 257], [""992593"", 349, 22, 351], [""소비기한"", 416, 37, 218], [""2025.11.13"", 492, 29, 289], [""까지"", 532, 33, 494]]"
000027,2026,04,27,2026-04-27,s1,E0 27.04.2026 | PD 28.04.2025 | F07:57,"[[""E0 27.04.2026"", 473, 34, 182], [""PD 28.04.2025"", 498, 33, 182], [""F07:57"", 524, 32, 180]]"
000028,2025,03,31,2025-03-31,s1,GHANA행복사서항 | 970-4567-5050 가나와 함께한 50년의 이야기를 | 지금 바로 들어보세요 | (용성에세지 유효기간: ~25.3.31) | B한간 2.8. ∞ | 품릿습 | 변정통서 | 통능,"[[""GHANA행복사서항"", 97, 50, 321], [""970-4567-5050"", 150, 38, 53], [""가나와 함께한 50년의 이야기를"", 142, 40, 324], [""지금 바로 들어보세요"", 174, 35, 324], [""(용성에세지 유효기간: ~25.3.31)"", 199, 34, 325], [""B한간 2.8."", 540, 267, 162], [""∞"", 634, 20, 542], [""품릿습"", 802, 33, 427], [""변정통서"", 893, 38, 398], [""통능"", 944, 31, 398]]"
000029,2026,08,02,2026-08-02,s1,"총내 | 영등보 | 워미구 | 고번호 포화지방 | 대료명 콜레스테를 | 단백질4 | 1일영양성분 | 기준이므로 개 | 유화제,향료IV ·제품0 | 돼지고기, 복승아 함유 30℃ | 낮은습 습 | 롯데웰푸드 | 비닐류 | 801062898862 OTHER | 2026.08.02H1 | 까지 | )","[[""총내"", 30, 29, 677], [""영등보"", 94, 35, 242], [""포화지방"", 130, 37, 631], [""워미구"", 143, 31, 261], [""콜레스테를"", 152, 42, 617], [""고번호"", 173, 30, 202], [""대료명"", 187, 27, 191], [""단백질4"", 175, 41, 623], [""1일영양성분"", 200, 32, 632], [""기준이므로 개"", 216, 30, 635], [""·제품0"", 251, 36, 639], [""유화제,향료IV"", 300, 50, 130], [""30℃"", 278, 39, 646], [""낮은습"", 308, 45, 649], [""습"", 304, 25, 701], [""돼지고기, 복승아 함유"", 300, 86, 316], [""롯데웰푸드"", 389, 44, 252], [""비닐류"", 457, 32, 476], [""801062898862"", 516, 38, 166], [""OTHER"", 510, 42, 463], [""2026.08.02H1"", 624, 42, 164], [""까지"", 648, 38, 464], ["")"", 656, 23, 687]]"
000030,2028,08,17,2028-08-17,s1,"3,480 | 3,480 | SPAM | SPAM | 맛의비밀 MA6 | 맛이깔끔한 28.08.17 16-447 | 는 맛있게 | 기부방법 | 게 | ? 1 점선을따라 2 | 금호수를채취, SPAM 파우치를 SPAM | 사이프리스 열어주세요 | 제) 돼지고기 함유 | 보관방법 실온보관 | 30405015-210 포장재질(내면)폴리프로필런 | 80g/250kca | 영양정보","[[""3,480"", 20, 30, 288], [""3,480"", 40, 32, 276], [""SPAM"", 114, 67, 77], [""SPAM"", 192, 67, 97], [""MA6"", 370, 28, 476], [""맛의비밀"", 384, 36, 0], [""28.08.17"", 414, 42, 243], [""16-447"", 406, 33, 431], [""맛이깔끔한"", 415, 32, 0], [""는 맛있게"", 436, 26, 0], [""기부방법"", 450, 23, 114], [""게"", 470, 23, 0], [""?"", 501, 22, 0], [""1"", 494, 25, 105], [""점선을따라"", 504, 38, 191], [""2"", 494, 26, 293], [""금호수를채취,"", 522, 20, 0], [""SPAM"", 524, 23, 134], [""파우치를"", 528, 30, 190], [""SPAM"", 524, 22, 320], [""사이프리스"", 553, 24, 0], [""열어주세요"", 551, 26, 193], [""제)"", 718, 28, 2], [""돼지고기 함유"", 710, 29, 339], [""보관방법 실온보관"", 772, 38, 267], [""30405015-210"", 812, 33, 0], [""포장재질(내면)폴리프로필런"", 800, 39, 260], [""80g/250kca"", 840, 39, 317], [""영양정보"", 858, 33, 14]]"
000031,2026,02,14,2026-02-14,s1,"신상품 | 기격 1 1,460 2개 | 알인 구매시알인 | 2026.02.14 | 0839A182 | 간르이는 용원해","[[""신상품"", 117, 24, 588], [""기격"", 146, 40, 334], [""1"", 136, 23, 431], [""2개"", 145, 40, 580], [""1,460"", 156, 28, 431], [""알인"", 169, 22, 342], [""구매시알인"", 172, 29, 566], [""2026.02.14"", 500, 62, 133], [""0839A182"", 538, 55, 187], [""간르이는"", 602, 54, 127], [""용원해"", 610, 50, 346]]"
000032,2026,03,28,2026-03-28,clahe,JlN | 2026.03.2811 | B2 13:40 | 너라면 할 수 있어,"[[""JlN"", 106, 55, 0], [""2026.03.2811"", 482, 74, 139], [""B2 13:40"", 508, 55, 181], [""너라면 할 수 있어"", 564, 78, 127]]"
