file,n_boxes,n_stage1,date_stage1,date_stage2,texts
images\001296.jpg,41,20,,,"11/2023 L20204150-331 | www.perledisole.com | Papillano | Lotton.8-80027Frttamaggiore(NA)italy | PESO NETTO /NET WEIGHT |  | 콜레스테를0mg 0% 단백질 |  | 지방 Og 0% 트랜스지방 0g 포화지방 Og 0% | MADE IN ITALY | 200ge 7.05 oz | 0mg0%个量90g28%异76.4g76% | 1399 | 100g:360kcal | 있어 주의가 필요함*부정불량식품 신고:국번 없이 | 영양정보 | 200g | 섭취하면 입속에 상처나 심한 경우 염증이 유발될 수 | 강해 어린이들이 장시간 물고 있거나,여러 개를 한번에 | 움위생법에 의한 한글표시사항> | ∞ | 0 | Da consumarsi prefenbilmente entro fine/Best before end/유통기한: | diretta del sole/Store in a cool, dhy place,away from heat sources and direct sunlight | Conseo ngfslnndalfnt i redallce | Confezionato da Papillon srl - Consorzio Fracta Labor | ∞ | natural lemon flavor (0.10%), turmeric added for colour (E100). | 0 | tgredients:sugar, gucose syrup, dextrose,acidifying agent: citic acid (E330), | HARD BOILED CANDIES WITH LEMON FLAVOUR AND FILLED WITH SOUR POWDER | aroma naturale di limone (0.1o%), colorante: curcumina (E100). | Ingredienti: zucchero, sciroppo di glucosio, destrosio, acidificante:acido citrico (E330), | CARAMELLE DURE AL GUSTO DI LIMONE RIPIENE CON POLVERE FRIZZANTE | 1일생방성분을은200로 에수습 |  | 소비자 분쟁 해결 기준에 의거 교환 또는 보상을 받을 수 있습니다.""보관방법:고온 다습 직사광선을 피하고 실은 보관*주의사항·신맛이 | 재질·폴리프로필렌·원재료명:설탕,포도당시럽,포도당,구연산,천연향료(레몬향)0.1%,심황색소본 제품은 공정거래위원회 고시 | 31호·유통기한제품에 별도 표기일까지(읽는법:제품에 월/년도만 인쇄해당월의 1일까지)제조회사:PAPILLON SRE포장 | 07086674648 | ·제품명:포지타노레몬맛 캔디(천연레몬향 0.1%함유 내용량:200g/총열량:720kcal)식품유형:캔디류·원산지:MADEIN"
images\002503.jpg,19,8,2022-01-24,,No Brand는 이마트의 상입니다 | N111 | 2022.01.24 | 01399 | 교환장소:구입처 및제조원 | 드시기 바랍니다.개불 후 남은 제품은 일페용기에 | 을나타널도 8으D로 드N주의BAP바 | REAL NUTS 리얼넷츠
images\002624.jpg,12,5,,,022.12.19 |  | CE | 국산 | w(주)코리아제 |  | 1031-885-080 | 반들 |  | 请务止工楼费：20090375188-3 | 9 | -3
images\000838.jpeg,5,3,,,CHEDDAR CHEESE | PEEL HERE | EXPFEB2126I10 | 3 | 
images\002264.jpg,33,1,,,20213 | 8809164227146 |  | 5 | 0 |  | 구 | MME | 스인 |  | E | 2074 | A | VOKLCOLOVCEA | TUMETOK | 2일 | . |  | 본료명 | 구0신.R | u스법 | LD- | 지행 0 |  | 내용 | B0a)기도지 |  | ODMU10 | 들소재지 | u | [Uabe | 영양정보 | 
images\001954.jpg,71,11,,,"3488430011402 | EMB29168A | OCT.2021 | 40 | Poids net/Net weight/Nettogewicht: | 트랜스지방 1g | 탄수화을 23g 7% | 층 내용량 40g, 185kcal | 나 213mg 11% | 제품 별도표시된 Best before:월/년의 01일까지 | 식품의 유청 과자 내용량 40g(185kcal) |  | Aconsommer de preferenc | 6% | 역 | Fer/eon | 0% | OTHER | 단백질 3g 5% | Calcium/Calcium | 1일 영양성분 기준채 대바을(N)은 2,00ka 기준이므로 개인의 들으증에 라 를수있습 | 0% | 방6g 40% | 레스테를25mg 8% | Viamine C/Vitamin C | 6% | 당류 8g 8% | 지방 9g 17% | Vitumine A/Vitamin A | Proteines/Protein 0.59 | 영양정보 | 를반품 및 교환장소:구입처 및 수입판매업소 | Suces/Sugars 15g | 0% | du Raz | 1399 | Fbres/ Fibre 0g | 6% | 포장제질:종이(내포장 물리에달렌)직사광선을 피하고 건조하고서늘한곳에 보관하세요. | Glucides/Carbohydrate 4.59 | 7% | saant | Sodium/Sodium 42,5 mg | 7% | 유통기한 | is extra fi | 25% | Cholesterol/Cholesterol 5 mg | trams/Trane a.tg | es beurre | 프랑스 | Satus/Sud135 | 11% | 원재료 명일가루,버테(우유.식염)설당,계란,정제소금,카라를 모우유.밀 계란함유 | enu a no | Upides/Fat 1,75 | Calories/Calories 37,5 | heures. | 제조회사 BISCUITERIE DE LA POINTE DU RAZ원산지 | sDal Vale | Amout | valeur Cuotdanne | 20526 | Teneur | 수입판매원 | 갈레트 브르통 | Per1 cooke(g) | pour T galeeg | 제품명 | Nutrition Facts | Valeur nutritive"
images\001814.jpg,32,23,2022-06-07,,"/SAOTHER | 까지 | 2022.06.07 | 8801161501663 | 품질유지기한 | 01399 | （02）380-5678 | 반품 및 교환장소 제조원 및 구입처 | (주)이마트/서울특별시 성동구 뚝섬로 377(성수동2가) | 080900-3214 | 제조원 | 신송식품(주)/충청남도 천안시 서북구 직산읍 부송 1길55/ | 식품,종국 밀함유 | 号卫19880449001-282 | 중국산),정제소금,주정,기타과당,고추가루1,33%(중국산).복합조미 | 소맥분밀:미국산,호주산), 정제수,고추양념분말(고축가루0.63%/ | 콜레스터를5mg 미만1% 단백질5g 9% | 4%트랜스지방-포화지방0g | 포장재질 용기,뚜껑,라벨-폴리프로필런/리드지(내면>-폴리에틸렌 | 提量2.970mg149%量45g14%异35g35% | 제품명 정성깃든 고추장 식품유형 고추장 내용량 1kg | 영양정보 | 1000g/100g215kcal"
images\002136.jpg,57,56,,,"까지 | 2021.10.111 | 8809547911433 | 유통기한 | 이pP | 0기 | 초리계 | 售023397-113 | 지원t/ww.shinsegaefood.com/c/vocsf | 반품 및 교환장소:판매원 및구입처 | 01399 | 또는 보상받을수있습니다 | √국내산멸치의 고소함을 담았습니다. | ·본제품은 공정거래위원회고시소비자 분쟁해결 기준에의거 교환 | √튜브용기로 휴대가간편하고 깔끔합니다. | ·직사광선을 피해 서늘한 곳에 보관하시고 개봉 후에는 냉장보관 하세요. | 바르고정길하게 만듭니다 | ·이 제품은 쇠고기를 사용한 제품과 같은 제조사설에서 제조하고 있습니다. | 멸치볶음고추장 소스를 만들었 | 位19970499063240 | 올반키친의레시피를 당이 | 대한민국 식품명인 36호 | 팽 플리에용기리드지,플리프로필레(무껑 | 전통고추장에 | 대두밀,토마토함유 | Olbaan Fooe | 미향,L-글루담산나트륨(향미증진제,생강 | 명인의 비법이 7 | -장함유 | 말티시럽,공기를 토마토발요액 참기름,매실농축액 | Anchovy | [국내산),양파,설탕,마늘올리고당,혼합제D-소비톨액 | 추양중국산,밀볶음 탈지대두분,정 치 | 붉음 | 원재료명 | 장송 | 180q(60gX 3개입) | |올반 |  | 멸치 | 실온보관,개봉후 냉장보관 | 유통기한 | 후면하단표기일까지 | 고소하게 감칠맛 좋은 | 양무 | （128-14 | 전라북도순창군순창읍 민속마을길 56-9 | 제조원 | 농업회사법인순창문옥례식품(주/ | 식품유형 | 소스살균제품) | 제품명 | 멸치볶음고추장소스 | Olbaur | 새롭게 높여가는 신세계푸드의 식품 브랜드 입니다. | 엄격한 기준과 정성으로 우리 식 | 올바르다"
images\001067.jpg,12,8,2021-12-06,,야채해물 | 다시 | 깊은맛을더해주는 | 서울요리원 |  | PEACOCK | 리:조은이 | 2021.12.06
images\000256.jpg,9,9,2027-01-02,,27.01.02 E | nK | 소비기한 | 보로 | 글루타치온 50mg | ERO | B | E080-023-3399个 | Nexweel
images\003298.jpg,10,7,2021-10-21,, | 기름으로 뛰기지 않고 고온으로 구워 | BAKED NOODLE | 구운사리면 | 기름에 튀기지 않은 | PEACOCK | 2021.10.21까지(원주B)(5)
images\002248.jpg,9,5,2021-09-07,,단호박볼 | 2021.09.07 | 유통기한 | 남남 | 아이밀
images\000058.jpg,82,48,2027-03-27,,"F2A09:15 | 2027.03.27 | HACCP | 8801045""490472 | *당사 식품안전센터 분석 결과 | 빠면 완성됩니다. | *%영양성분 기준치 : 1일영양성분 기준치에대한 | 삶은후 | 조리전 | 나트룸 함량 | %영양성분 기준 | 줄어들어요~ | 4~5분간 삶습니다 | 오뚜기국수를 넣고 | ""조리법 대로삶아 행권 드시면 나트륨함량 | ①1.000m(5컵)를팔팔끊인후 | 조리방법(1인분100g기준) | 트랜스지방 | 당류 | 포화지방 | 19 | 79 7%지방 | 조리세요~ | 딱1인분 | 39 | 알게 | 영양정보 | 국수를 채우면 | 정확학 양으로 | 100g 당 340 | 원 안에 | 인본 수에 맞는 | 총 내용량 | 듣시기 바랍니다. | 보관 | 으 을  | 운도로 오행시간 | 손비자기 | 을  | ·대두 | 을 하이 | 다가수 숙성제면법 | 그대로 당은 최고의 국수 입니다. | 최고의 재료와 옛 정성을 | 제조원 | 오기국수는 | F2) | 사랑하는 산람과 국수를"
images\000383.jpg,29,19,2026-04-03,,"단백질 4g 7% | OTHER | 포화지방0g 0% | 트랜스지방 0g | 비닐류 | 160 kcal | HACCP | 총내용림 489 | O | 소비기한을 꼭!확인하세요 | 까지 | 2026.04.03 E | 소비기한 | 포장재질 폴리에틸렌 | 20170484590109 | 제조원2층) | 소비기한 후면표기일까지(연, 월,일) | 젤리 | 비타500"
images\002948.jpg,5,5,,,12.08.2021L260XG-U 11 |  |  | BIMOJOHT | apuy
images\001634.jpg,39,14,2021-05-12,,"2021.05.12마 | 는지에서 제조하고 있습니다. | 1일 영양성분 기준재대 | 표화지방 | 레오리 | 트랜스지방 | 정소 구현산상나트를,합성향(바닐라향) | 지방 | 내용량(열) 350g (1.470 kcal) | 100919 | 영양정보 | 1식품유형 기타가공 | 우리그라검은약 | 김은악콩"
images\002910.jpg,1,1,,,21-07·2021
images\003216.jpg,32,21,2022-01-15,,"470 |  | 2022.01.15 | BEST BEFORE: | TEL:604-4412231 FAX:604-4412235 | 08000SUNGAIPETAN.KEDAHMALAYA | NO. 3, LORONGAYAM DIDIK TAMAN RIA JAYA, | COCONFOOD INDUSTRIES SDN. BHD. | MANUFACTURED BY: | 0.0% | 0.0% | 1.0% | 40) | NET WEIGHT/BERAT BERSIH/ 3.52 0z(100g/) | MAKANAN YANG DIBENARKAN. | E129,FD&C REDNO 40). | es | tion | Facts | SAKBBRRY GURRY | okio"
images\002737.jpg,30,8,,,"20 | 41228910037401 | 150g | NETENEIGHT: | LOT:96210113 | BEST BEFORE:12.06.2021 | 12g80%50mg17%13g23% | and Goat Cheese | % | 8 | 1387%50m16%14g25% | #50g/210kcal360mg18%1:0%1g:1%17932%050m12978%50mg16%13g23% | 0.5g | 50g1210kcal360mg18%1gp:0%1gg:1%18g32% | 지방 트랜스지방 포화지방 콜레스테롤 단백질 | 총150q 나트탄수화물당류 | 래위원회 고시소비자분쟁해결기준에의거 교한 또는 보상 받을 수있습니다.·포장재질: 용기:PP,덮개:PE | 1399 | PP | 소브산칼륨(보존료)우유함유냉장제품 유통기한:라벨표기일(BESTBEFORE:일.월.년순)까지 | 살균, 젖산배양균,정제소금,염화Ca,렌넷,소브신칼륨(보존료)/만체고치즈[양유/살균,정산배양균 | 즈[산양유/살균, 젖산배양균, 정제소금, 엄화Ca,렌넷, 소브산칼륨(보존료/이베리코치즈우유/살균 | 2470271302） | 형:자연치즈(72C이상15초이상살균제품)제조원:Quesos del Duero SA.·내용량:150g(645kcal) | calcium chLoride (food use) and rennet. Keep refrigerated at +2et +8 °C | milk, cow's pasteurized milk. goat's pasteurized milk, Lactic ferments salt. | Calcium chloride (fobd use) and rennet. Iberico Cheese: sheep's pasteurized | rennet. Goat Cheese: made of goat's pasteurized milk. Lactic ferment. salt, | Manchego Cheese. made ot sheep s pasteurized milk. Lactic ferment. salt an | Spanish Cheese Plate: Manchego Cheese. Iberico Cheese"
images\002562.jpg,4,2,,,300 g e 15:42 2 | 29/08/2021 L27021 | H | CTIONS FO
images\000005.jpg,3,3,2026-07-02,,2026.07.02 | 2026.07.02 | 2 58 FS AI
images\002507.jpg,10,7,,,말랭이 | 고구마 | Potato | Sweetl | FOOD | DRIED | 异层72021.08.08外乱 | 1일 | nA | HACCP
images\002022.jpg,31,15,2022-04-09,,2022.04.09 | 은복 일봉하여 보라해 추시기 바랍니다 | 반품및 교환 구입처 및 판매원 | 스틱1개(10g)당/물100ml | 용기(포장)재질 | 및함량 | 원재료명 | D- | 유통기한 | 제조·판매원 | 1号人堂17（02-6403-3388） | (취방인옥믹스텐크/서울시 영등포국 | 제품명 | 무설탕 비타민C 복숭아티 식품의 유형 딩류가공품 | kcal
images\001365.jpg,15,14,2022-11-01,,"자일리를함유 | 13gX6스틱 78 g(318 kcal) | 자일로스 설탕 | 6속 | 벌꿀함유 | 이미지사진 | 아카시아 | PEACH HONEY BLACK TEA | 허니블랙티 | 복숭아 | W2,000 | 2022.11.01 | 담터I | 상행에 가객이 기어 있습니다"
images\001000.jpg,6,6,,, | 30811L5 | O7 SEP 21 | BEST BEFORE | pod0 | nS
images\002992.jpg,29,18,2021-02-21,,"3억원 생신물 책임보험 가입 | 330 g |  | NH농협 | 로오스나트름,정제영) 대두함은 | ·사용상 주의:개봉 후에는 가급적 발리 드시는 것에 좋습니다. | 및함량 | 베이트65,소르비탄지방산에스테르 카르복시에틸셜를 | 1399 | ·본 제품은 공장·G영원회 고시 소비자 분정배결 기준에 의거 교환 | Sodam-han Soybedn Curd | 부드러운두부/국,찌개용 | 소담한두부 | 지연들담은 | 2021.02.21까지 | Baegallcosa | HACCP | 박임식품"
images\001333.jpg,7,2,,,P24158 | DDM | N | 3700112016414 | 11:00 | LOT | 12/2021
