image_id,year,month,day,final_date,stage
000487,2027,12,11,2027-12-11,s1
000491,2026,09,19,2026-09-19,s1
000496,2027,03,05,2027-03-05,s1
000499,2026,05,13,2026-05-13,s1
000502,2026,06,20,2026-06-20,s1
000507,2025,08,20,2025-08-20,s1
000508,2026,08,25,2026-08-25,s1
000510,2026,09,03,2026-09-03,s1
000512,2026,02,17,2026-02-17,s1
000522,2025,08,22,2025-08-22,s1
000523,2025,09,24,2025-09-24,s1
000528,2026,03,11,2026-03-11,s1
000529,2026,01,12,2026-01-12,s1
000533,2026,03,26,2026-03-26,s1
000534,NONE,NONE,NONE,NONE,fail
000536,2026,01,01,2026-01-01,s1
000539,NONE,01,01,NONE-01-01,up2x
000544,NONE,NONE,NONE,NONE,fail
000545,2027,07,09,2027-07-09,s1
000548,2026,05,26,2026-05-26,s1
000550,2026,05,29,2026-05-29,s1
000555,2027,04,16,2027-04-16,s1
000556,2026,08,07,2026-08-07,s1
000558,2025,05,16,2025-05-16,s1
000562,2025,12,30,2025-12-30,s1
000565,2025,12,05,2025-12-05,s1
000566,2026,09,17,2026-09-17,s1
000568,2026,02,23,2026-02-23,s1
000569,2025,11,02,2025-11-02,s1
000573,NONE,NONE,NONE,NONE,fail
000579,2026,07,10,2026-07-10,rot90
000582,2025,01,21,2025-01-21,s1
000583,2035,11,23,2035-11-23,up2x
000595,2026,05,01,2026-05-01,s1
000597,2026,09,02,2026-09-02,s1
000598,2026,03,09,2026-03-09,s1
000599,2026,09,04,2026-09-04,s1
000600,2026,08,31,2026-08-31,s1
000602,2026,09,22,2026-09-22,s1
000603,2026,09,24,2026-09-24,s1
000606,2026,10,01,2026-10-01,rot90
000611,2026,07,20,2026-07-20,s1
000612,2026,05,07,2026-05-07,s1
000613,2026,05,28,2026-05-28,s1
000622,2027,01,02,2027-01-02,s1
000632,2025,12,28,2025-12-28,s1
000638,2026,06,16,2026-06-16,s1
000643,2026,01,21,2026-01-21,s1
000645,2025,05,13,2025-05-13,s1
000651,2026,06,25,2026-06-25,rot90
000652,2027,03,31,2027-03-31,s1
000655,2026,08,27,2026-08-27,s1
000656,2026,09,04,2026-09-04,s1
000658,2026,01,16,2026-01-16,s1
000666,NONE,NONE,NONE,NONE,fail
000671,2025,10,01,2025-10-01,s1
000677,2027,08,17,2027-08-17,s1
000679,2027,09,17,2027-09-17,s1
000680,2025,10,15,2025-10-15,s1
000681,2026,01,09,2026-01-09,s1
000683,2026,03,11,2026-03-11,s1
000686,2025,10,03,2025-10-03,s2
000692,2026,08,21,2026-08-21,s1
000694,NONE,NONE,NONE,NONE,fail
000696,2025,10,28,2025-10-28,s1
000701,2025,10,05,2025-10-05,s1
000706,2026,03,11,2026-03-11,s1
000713,2025,10,23,2025-10-23,s1
000719,2026,04,04,2026-04-04,s1
000728,2026,06,24,2026-06-24,s1
000730,NONE,NONE,NONE,NONE,fail
000735,2027,01,12,2027-01-12,s1
000737,2026,03,04,2026-03-04,s1
000742,2026,05,01,2026-05-01,s2
000743,2026,11,16,2026-11-16,s1
000745,2026,01,10,2026-01-10,s1
000747,2026,06,22,2026-06-22,s1
000756,2027,02,24,2027-02-24,s1
000757,NONE,10,22,NONE-10-22,s1
000760,NONE,NONE,NONE,NONE,fail
000762,2026,08,02,2026-08-02,s1
000765,NONE,NONE,NONE,NONE,fail
000766,2026,09,24,2026-09-24,s1
000773,NONE,12,10,NONE-12-10,s1
000777,NONE,NONE,NONE,NONE,fail
000782,NONE,12,19,NONE-12-19,clahe
000786,NONE,12,17,NONE-12-17,fail
000788,NONE,NONE,NONE,NONE,fail
000790,NONE,01,02,NONE-01-02,s2
000791,NONE,NONE,NONE,NONE,fail
000795,NONE,NONE,NONE,NONE,fail
000799,NONE,NONE,NONE,NONE,fail
000802,2026,07,03,2026-07-03,s1
000803,2026,09,13,2026-09-13,s1
000804,NONE,NONE,NONE,NONE,fail
000806,2016,02,10,2016-02-10,s1
000808,2026,06,12,2026-06-12,clahe
000810,2026,03,31,2026-03-31,s1
000811,2026,03,31,2026-03-31,s1
000812,2026,05,29,2026-05-29,s1
000813,2024,01,02,2024-01-02,s1
000818,NONE,NONE,NONE,NONE,fail
000819,2026,05,18,2026-05-18,s2
000830,2025,12,20,2025-12-20,s1
000832,NONE,NONE,NONE,NONE,fail
000839,2026,01,03,2026-01-03,s1
000840,2026,01,01,2026-01-01,s1
000841,2025,12,22,2025-12-22,s1
000843,2026,06,17,2026-06-17,s1
000845,2026,06,17,2026-06-17,s1
000848,2026,05,21,2026-05-21,clahe
000858,2021,10,28,2021-10-28,up2x
000860,2022,07,29,2022-07-29,s2
000863,NONE,NONE,NONE,NONE,fail
000865,NONE,NONE,NONE,NONE,fail
000868,NONE,NONE,NONE,NONE,fail
000870,2021,10,15,2021-10-15,s1
000872,NONE,NONE,NONE,NONE,fail
000875,NONE,04,05,NONE-04-05,s1
000880,2021,05,11,2021-05-11,s1
000882,2021,06,08,2021-06-08,s1
000888,NONE,NONE,NONE,NONE,fail
000890,2021,04,05,2021-04-05,s1
000898,2025,05,19,2025-05-19,s2
000901,2021,11,01,2021-11-01,s1
000904,2022,06,22,2022-06-22,clahe
000906,NONE,NONE,NONE,NONE,fail
000908,NONE,NONE,NONE,NONE,fail
000913,NONE,NONE,NONE,NONE,fail
000922,2022,02,26,2022-02-26,s1
000927,2021,08,23,2021-08-23,s1
000928,2022,03,13,2022-03-13,s1
000930,2021,07,29,2021-07-29,s1
000933,NONE,NONE,NONE,NONE,fail
000938,2022,06,11,2022-06-11,s2
000941,2021,07,02,2021-07-02,s1
000943,2020,08,28,2020-08-28,s1
000945,2020,04,03,2020-04-03,s1
000946,2021,09,30,2021-09-30,s1
000950,2022,09,16,2022-09-16,s2
000953,2021,02,05,2021-02-05,s1
000963,2023,11,14,2023-11-14,s1
000965,NONE,06,02,NONE-06-02,s1
000966,2021,08,10,2021-08-10,s1
000970,2022,06,30,2022-06-30,s2
000977,2020,11,03,2020-11-03,s1
000979,2020,12,15,2020-12-15,s1
000991,2021,03,04,2021-03-04,s1
000998,2021,11,11,2021-11-11,s1
001000,2021,09,07,2021-09-07,s1
001002,NONE,NONE,NONE,NONE,fail
001004,2020,08,10,2020-08-10,s1
001007,2022,06,29,2022-06-29,s1
001012,2021,11,10,2021-11-10,s1
001018,2021,05,01,2021-05-01,clahe
001019,NONE,NONE,NONE,NONE,fail
001023,2021,07,13,2021-07-13,s2
001024,2021,07,13,2021-07-13,s1
001026,2020,12,09,2020-12-09,s1
001028,2021,07,07,2021-07-07,s1
001030,NONE,NONE,NONE,NONE,fail
001033,2019,07,16,2019-07-16,s1
001037,2021,03,18,2021-03-18,s1
001038,2021,12,28,2021-12-28,s2
001042,2021,09,13,2021-09-13,s1
001043,2021,09,13,2021-09-13,s1
001045,2021,04,30,2021-04-30,s1
001048,2021,05,12,2021-05-12,s1
001053,2022,09,01,2022-09-01,s1
001054,2022,09,01,2022-09-01,s1
001056,2022,05,27,2022-05-27,s1
001058,2021,10,14,2021-10-14,s1
001065,2022,05,04,2022-05-04,s1
001068,2021,03,01,2021-03-01,s1
001069,2021,03,18,2021-03-18,s1
001072,2023,09,18,2023-09-18,rot90
001074,2021,09,30,2021-09-30,s1
001075,2021,09,30,2021-09-30,s2
001076,2021,07,31,2021-07-31,s1
001079,NONE,NONE,NONE,NONE,fail
001081,2021,06,17,2021-06-17,s1
001085,2023,10,09,2023-10-09,s1
001090,2021,04,16,2021-04-16,s1
001091,2021,04,16,2021-04-16,s1
001092,2021,03,19,2021-03-19,s1
001095,2022,01,12,2022-01-12,s1
001098,2021,03,18,2021-03-18,s1
001103,NONE,NONE,NONE,NONE,fail
001104,2021,08,26,2021-08-26,s1
001105,2021,08,26,2021-08-26,s1
001106,2027,03,21,2027-03-21,s1
001107,2021,02,28,2021-02-28,s1
001109,2021,03,22,2021-03-22,s1
001111,2022,07,12,2022-07-12,s1
001115,2022,01,12,2022-01-12,s1
001117,2022,01,20,2022-01-20,s1
001118,2022,01,20,2022-01-20,s1
001124,2021,10,09,2021-10-09,s1
001125,2021,12,28,2021-12-28,s1
001128,2021,06,10,2021-06-10,s1
001129,NONE,12,05,NONE-12-05,clahe
001133,2021,02,19,2021-02-19,s1
001134,NONE,NONE,NONE,NONE,fail
001136,NONE,NONE,NONE,NONE,fail
001139,2021,02,28,2021-02-28,s1
001150,2021,09,18,2021-09-18,s1
001152,2021,10,31,2021-10-31,s1
001158,2021,08,10,2021-08-10,s1
001160,2021,04,23,2021-04-23,s1
001162,2021,12,06,2021-12-06,s1
001172,NONE,NONE,NONE,NONE,fail
001175,2021,09,07,2021-09-07,s1
001179,2023,09,01,2023-09-01,rot90
001182,2022,04,14,2022-04-14,s1
001188,2020,04,23,2020-04-23,s1
001189,2019,06,28,2019-06-28,s1
001193,2021,02,11,2021-02-11,s1
001197,2021,10,10,2021-10-10,clahe
001201,2022,07,16,2022-07-16,s1
001205,NONE,NONE,NONE,NONE,fail
001207,2020,08,18,2020-08-18,s1
001211,2021,07,03,2021-07-03,s1
001212,2021,07,03,2021-07-03,s1
001214,NONE,NONE,NONE,NONE,fail
001221,2021,01,01,2021-01-01,s1
001222,2021,11,10,2021-11-10,s1
001223,NONE,NONE,NONE,NONE,fail
001226,2022,06,27,2022-06-27,s1
001229,2021,10,28,2021-10-28,s1
001232,2021,05,05,2021-05-05,s1
001233,2021,03,09,2021-03-09,s1
001234,2021,03,09,2021-03-09,s1
001235,2020,09,26,2020-09-26,s1
001236,NONE,NONE,NONE,NONE,fail
001238,NONE,NONE,NONE,NONE,fail
001254,2019,09,13,2019-09-13,rot90
001256,2023,07,03,2023-07-03,s1
001259,2021,08,30,2021-08-30,s1
001262,NONE,07,06,NONE-07-06,fail
001265,2022,06,NONE,2022-06-NONE,s1
001269,NONE,NONE,NONE,NONE,fail
001273,2022,06,17,2022-06-17,s1
001279,2022,10,09,2022-10-09,s2
001284,2022,04,23,2022-04-23,s1
001287,2023,10,01,2023-10-01,s1
001289,2024,11,21,2024-11-21,s1
001290,2024,11,21,2024-11-21,s1
001293,2020,09,02,2020-09-02,up2x
001296,2023,11,NONE,2023-11-NONE,s1
001310,2021,04,30,2021-04-30,s1
001314,2022,01,15,2022-01-15,s2
001316,2021,12,09,2021-12-09,s1
001321,2022,02,15,2022-02-15,s1
001323,2023,07,09,2023-07-09,s1
001324,2023,07,09,2023-07-09,s1
001331,2021,04,19,2021-04-19,s1
001335,NONE,02,30,NONE-02-30,clahe
001337,2021,07,04,2021-07-04,s2
001339,2021,06,08,2021-06-08,s1
001345,2021,08,27,2021-08-27,s1
001346,2021,08,27,2021-08-27,s1
001352,2022,06,27,2022-06-27,s1
001353,2022,06,27,2022-06-27,s1
001358,NONE,NONE,NONE,NONE,fail
001361,2021,09,02,2021-09-02,s2
001362,2021,10,13,2021-10-13,s1
001363,2021,10,13,2021-10-13,s1
001365,2022,11,01,2022-11-01,s1
001371,2022,04,27,2022-04-27,s1
001377,2021,12,02,2021-12-02,s2
001378,2021,01,22,2021-01-22,s1
001379,2021,01,22,2021-01-22,s2
001382,2023,01,05,2023-01-05,s1
001386,2022,04,25,2022-04-25,s1
001393,2022,07,14,2022-07-14,s2
001398,2021,07,23,2021-07-23,s1
001399,2021,07,23,2021-07-23,s1
001403,NONE,NONE,NONE,NONE,fail
001407,2021,07,31,2021-07-31,s1
001408,2021,12,16,2021-12-16,s1
001413,2021,02,24,2021-02-24,s1
001415,2022,04,20,2022-04-20,s1
001420,2021,07,01,2021-07-01,s1
001422,2021,11,NONE,2021-11-NONE,s1
001425,2021,06,22,2021-06-22,s1
001426,2020,04,17,2020-04-17,s1
001427,2020,08,12,2020-08-12,s1
001428,2020,08,12,2020-08-12,s1
001430,2021,01,23,2021-01-23,s1
001433,2021,09,29,2021-09-29,s1
001437,2021,08,29,2021-08-29,s1
001438,2021,08,29,2021-08-29,s1
001448,2022,07,22,2022-07-22,s1
001451,2022,04,26,2022-04-26,s1
001452,2022,09,13,2022-09-13,s1
001455,2022,01,02,2022-01-02,s2
001460,2022,11,18,2022-11-18,s1
001462,2021,11,01,2021-11-01,s1
001463,2021,11,17,2021-11-17,up2x
001469,2022,12,03,2022-12-03,s1
001473,2022,02,17,2022-02-17,clahe
001475,2022,07,10,2022-07-10,s1
001476,2022,05,10,2022-05-10,s1
001478,2022,08,27,2022-08-27,s1
001484,2022,09,28,2022-09-28,s1
001491,2023,07,08,2023-07-08,s1
001492,2023,07,08,2023-07-08,s1
001502,2021,06,24,2021-06-24,s1
001504,2021,01,27,2021-01-27,s1
001507,2021,02,19,2021-02-19,s1
001511,2023,12,01,2023-12-01,s1
001526,2021,01,21,2021-01-21,rot90
001536,2021,02,19,2021-02-19,s1
001539,2022,01,18,2022-01-18,s1
001544,2021,08,02,2021-08-02,s1
001552,NONE,NONE,NONE,NONE,fail
001555,2020,06,03,2020-06-03,s1
001557,2022,03,16,2022-03-16,s1
001559,2024,12,21,2024-12-21,s1
001564,NONE,NONE,NONE,NONE,fail
001566,2020,04,23,2020-04-23,s1
001567,NONE,NONE,NONE,NONE,fail
001579,2022,11,02,2022-11-02,s1
001583,2021,12,15,2021-12-15,s1
001587,2021,04,27,2021-04-27,s1
001591,2021,02,18,2021-02-18,s1
001593,2022,01,05,2022-01-05,s1
001594,2021,12,13,2021-12-13,s1
001601,2021,02,11,2021-02-11,s1
001602,2021,02,11,2021-02-11,s1
001603,2021,02,24,2021-02-24,s1
001610,2021,02,12,2021-02-12,s1
001611,2021,02,12,2021-02-12,s1
001612,2022,02,25,2022-02-25,s1
001613,2022,02,25,2022-02-25,s1
001614,2020,09,03,2020-09-03,s1
001616,2021,12,15,2021-12-15,s1
001617,2021,12,15,2021-12-15,s1
001619,2023,10,06,2023-10-06,s1
001622,2022,01,14,2022-01-14,s1
001624,2022,04,26,2022-04-26,s1
001625,2022,04,26,2022-04-26,s1
001642,2022,03,19,2022-03-19,s1
001645,2021,10,12,2021-10-12,s1
001648,2021,12,14,2021-12-14,s1
001651,2021,03,09,2021-03-09,s1
001652,2021,03,09,2021-03-09,s1
001654,2019,08,19,2019-08-19,s1
001657,2021,01,16,2021-01-16,s1
001658,2021,10,20,2021-10-20,s1
001660,2022,10,05,2022-10-05,s1
001661,2022,04,26,2022-04-26,s1
001663,2020,08,29,2020-08-29,s1
001668,2021,09,14,2021-09-14,s1
001675,2021,03,15,2021-03-15,s1
001676,2021,03,15,2021-03-15,s1
001682,2022,10,22,2022-10-22,s1
001690,2020,10,01,2020-10-01,rot270
001692,2021,07,03,2021-07-03,s1
001698,2021,12,22,2021-12-22,s1
001710,2021,01,16,2021-01-16,s1
001711,2021,10,15,2021-10-15,s1
001714,NONE,NONE,NONE,NONE,fail
001715,2021,02,07,2021-02-07,s1
001721,2021,07,06,2021-07-06,s1
001722,2021,07,06,2021-07-06,s1
001724,2021,05,13,2021-05-13,s1
001727,2021,02,08,2021-02-08,s1
001728,2021,02,08,2021-02-08,s1
001729,2021,03,13,2021-03-13,s1
001730,2028,10,01,2028-10-01,s1
001731,2021,10,02,2021-10-02,s1
001733,2022,11,18,2022-11-18,s1
001737,2021,02,08,2021-02-08,s1
001738,2022,01,05,2022-01-05,s1
001739,2022,01,05,2022-01-05,s1
001740,2022,11,01,2022-11-01,s1
001743,NONE,10,26,NONE-10-26,s1
001745,2021,01,29,2021-01-29,s1
001746,2021,10,12,2021-10-12,s1
001748,NONE,NONE,NONE,NONE,fail
001749,NONE,NONE,NONE,NONE,fail
001755,2021,12,05,2021-12-05,s1
001764,2021,12,23,2021-12-23,s1
001765,NONE,01,07,NONE-01-07,fail
001770,2019,10,18,2019-10-18,s1
001780,2020,09,01,2020-09-01,s1
001781,2020,09,01,2020-09-01,s1
001784,2021,06,13,2021-06-13,s1
001787,NONE,NONE,NONE,NONE,fail
001789,2021,01,16,2021-01-16,s1
001790,2021,01,16,2021-01-16,s1
001792,2020,08,13,2020-08-13,s1
001794,2021,11,07,2021-11-07,s1
001802,2021,03,05,2021-03-05,s1
001804,2021,01,15,2021-01-15,s1
001806,2029,02,19,2029-02-19,s1
001812,2021,03,26,2021-03-26,s1
001813,2021,03,26,2021-03-26,s1
001816,2021,01,15,2021-01-15,s1
001819,2022,01,18,2022-01-18,s1
001823,2021,06,09,2021-06-09,s1
001827,2021,11,28,2021-11-28,s1
001831,2020,12,NONE,2020-12-NONE,s2
001834,2022,07,12,2022-07-12,up2x
001836,2021,10,02,2021-10-02,s1
001840,2021,09,30,2021-09-30,s1
001845,2021,11,23,2021-11-23,s1
001848,NONE,NONE,NONE,NONE,fail
001860,NONE,NONE,NONE,NONE,fail
001873,2022,10,14,2022-10-14,s1
001875,2022,10,21,2022-10-21,s1
001878,2021,11,03,2021-11-03,s1
001881,NONE,NONE,NONE,NONE,fail
001883,2021,09,09,2021-09-09,s1
001886,2020,06,05,2020-06-05,s1
001887,2023,08,22,2023-08-22,s1
001890,2021,08,31,2021-08-31,s1
001899,NONE,07,30,NONE-07-30,fail
001903,2027,08,21,2027-08-21,s1
001905,2022,01,15,2022-01-15,s1
001906,2021,09,03,2021-09-03,s1
001908,2021,08,16,2021-08-16,s1
001911,NONE,NONE,NONE,NONE,fail
001917,2021,05,25,2021-05-25,s1
001919,2023,12,20,2023-12-20,s1
001923,2022,06,14,2022-06-14,s1
001928,2022,01,14,2022-01-14,s1
001934,2022,03,29,2022-03-29,s1
001937,2021,12,21,2021-12-21,clahe
001938,2021,03,NONE,2021-03-NONE,s1
001941,2022,05,27,2022-05-27,s1
001948,2020,08,NONE,2020-08-NONE,s1
001950,2023,07,16,2023-07-16,s1
001957,2021,10,NONE,2021-10-NONE,rot90
001961,2027,03,21,2027-03-21,s1
001962,2027,03,21,2027-03-21,s1
001963,2021,10,09,2021-10-09,s1
001966,2023,10,12,2023-10-12,s1
001968,2022,08,24,2022-08-24,s1
001972,2023,03,15,2023-03-15,s1
001973,2023,03,15,2023-03-15,s2
001978,2020,11,04,2020-11-04,clahe
001984,2022,01,19,2022-01-19,s1
001986,2023,01,04,2023-01-04,s1
001989,2022,11,23,2022-11-23,s1
001992,2021,12,28,2021-12-28,s1
001994,2021,10,29,2021-10-29,s1
001996,2021,12,18,2021-12-18,s1
002000,2021,04,24,2021-04-24,s1
002003,2022,05,15,2022-05-15,s1
002004,2022,05,15,2022-05-15,s1
002006,2022,07,27,2022-07-27,s1
002009,2021,12,02,2021-12-02,rot90
002015,2023,06,28,2023-06-28,s1
002016,NONE,NONE,NONE,NONE,fail
002020,2023,05,01,2023-05-01,s1
002021,2022,04,09,2022-04-09,s1
002023,2020,11,10,2020-11-10,s1
002025,2020,01,03,2020-01-03,s1
002026,2020,01,03,2020-01-03,s1
002032,2022,03,22,2022-03-22,s1
002033,2022,03,22,2022-03-22,s1
002035,2017,12,20,2017-12-20,s1
002043,2019,12,20,2019-12-20,s1
002044,2019,12,20,2019-12-20,s1
002047,2021,07,31,2021-07-31,s1
002051,NONE,04,14,NONE-04-14,s1
002058,2022,06,22,2022-06-22,s1
002065,2021,09,03,2021-09-03,s1
002068,2022,11,09,2022-11-09,s1
002072,2024,12,21,2024-12-21,s1
002078,2020,10,21,2020-10-21,s1
002079,2021,01,03,2021-01-03,s1
002087,2021,09,03,2021-09-03,s1
002091,2021,09,21,2021-09-21,s1
002100,2021,09,17,2021-09-17,s1
002108,2020,09,01,2020-09-01,s1
002114,2020,12,01,2020-12-01,s1
002118,2021,01,03,2021-01-03,s1
002124,2020,11,02,2020-11-02,s1
002127,2021,11,04,2021-11-04,s1
002139,2021,06,29,2021-06-29,s1
002141,2021,04,11,2021-04-11,s1
002154,2021,05,21,2021-05-21,s1
002156,2021,12,25,2021-12-25,s1
002163,2023,06,18,2023-06-18,s1
002164,2021,01,29,2021-01-29,s1
002165,2021,01,29,2021-01-29,s1
002167,2021,05,28,2021-05-28,s1
002169,2020,01,15,2020-01-15,s1
002175,2021,09,05,2021-09-05,s1
002180,2022,01,19,2022-01-19,s1
002182,2019,02,20,2019-02-20,s1
002185,2020,09,25,2020-09-25,s1
002186,2020,06,10,2020-06-10,s1
002207,2020,05,11,2020-05-11,s1
002209,2022,05,31,2022-05-31,s1
002210,2020,09,22,2020-09-22,s1
002216,2023,06,NONE,2023-06-NONE,s1
002219,2022,02,01,2022-02-01,s1
002226,NONE,NONE,NONE,NONE,fail
002229,2028,03,23,2028-03-23,s1
002231,2022,07,21,2022-07-21,s1
002235,2022,02,22,2022-02-22,s1
002239,2022,06,30,2022-06-30,s1
002246,2021,07,22,2021-07-22,s1
002250,NONE,NONE,NONE,NONE,fail
002251,2021,05,09,2021-05-09,rot90
002253,2022,01,04,2022-01-04,s1
002257,2021,04,30,2021-04-30,s1
002259,2022,12,15,2022-12-15,s1
002267,2022,09,NONE,2022-09-NONE,s1
002269,2016,03,21,2016-03-21,clahe
002270,2016,03,21,2016-03-21,s1
002272,2021,08,02,2021-08-02,s1
002275,2023,12,22,2023-12-22,s1
002280,2021,01,03,2021-01-03,s1
002290,2021,09,10,2021-09-10,s1
002291,2021,09,10,2021-09-10,s1
